Entity,Code,Year,"Death rate per 100,000 people - Cause: Ischaemic heart disease - Sex: Both sexes - Age group: Age-standardized"
Brazil,BRA,2000,115.768814
Brazil,BRA,2005,98.53511
Brazil,BRA,2010,90.24327
Brazil,BRA,2015,81.488045
Brazil,BRA,2019,74.55083
France,FRA,2000,60.575798
France,FRA,2005,50.767075
France,FRA,2010,39.8391
France,FRA,2015,33.524506
France,FRA,2019,30.108046
India,IND,2000,146.3249
India,IND,2005,134.54741
India,IND,2010,141.33163
India,IND,2015,141.13469
India,IND,2019,135.66104
Nigeria,NGA,2000,106.53744
Nigeria,NGA,2005,95.661736
Nigeria,NGA,2010,85.87735
Nigeria,NGA,2015,82.12183
Nigeria,NGA,2019,82.17625
Russia,RUS,2000,340.03165
Russia,RUS,2005,350.7844
Russia,RUS,2010,289.8744
Russia,RUS,2015,233.04733
Russia,RUS,2019,206.69464
South Africa,ZAF,2000,107.509735
South Africa,ZAF,2005,102.602165
South Africa,ZAF,2010,98.131165
South Africa,ZAF,2015,89.268936
South Africa,ZAF,2019,73.84405
Sudan,SDN,2000,345.61343
Sudan,SDN,2005,317.2957
Sudan,SDN,2010,297.47314
Sudan,SDN,2015,293.8476
Sudan,SDN,2019,287.48807
United States,USA,2000,130.9174
United States,USA,2005,105.78154
United States,USA,2010,82.49394
United States,USA,2015,74.94156
United States,USA,2019,74.47713
