Entity,Code,Year,Deaths - Cocaine use disorders - Sex: Both - Age: Age-standardized (Rate)
Bangladesh,BGD,1990,0.01
Bangladesh,BGD,1995,0.01
Bangladesh,BGD,2000,0.01
Bangladesh,BGD,2005,0.01
Bangladesh,BGD,2010,0.01
Bangladesh,BGD,2015,0.01
Bangladesh,BGD,2019,0.01
Georgia,GEO,1990,0.07
Georgia,GEO,1995,0.05
Georgia,GEO,2000,0.04
Georgia,GEO,2005,0.04
Georgia,GEO,2010,0.04
Georgia,GEO,2015,0.04
Georgia,GEO,2019,0.07
Guinea-Bissau,GNB,1990,0.0
Guinea-Bissau,GNB,1995,0.0
Guinea-Bissau,GNB,2000,0.0
Guinea-Bissau,GNB,2005,0.0
Guinea-Bissau,GNB,2010,0.0
Guinea-Bissau,GNB,2015,0.0
Guinea-Bissau,GNB,2019,0.0
Norway,NOR,1990,0.01
Norway,NOR,1995,0.03
Norway,NOR,2000,0.1
Norway,NOR,2005,0.21
Norway,NOR,2010,0.21
Norway,NOR,2015,0.17
Norway,NOR,2019,0.15
Saudi Arabia,SAU,1990,0.05
Saudi Arabia,SAU,1995,0.06
Saudi Arabia,SAU,2000,0.09
Saudi Arabia,SAU,2005,0.07
Saudi Arabia,SAU,2010,0.05
Saudi Arabia,SAU,2015,0.05
Saudi Arabia,SAU,2019,0.06
Tajikistan,TJK,1990,0.02
Tajikistan,TJK,1995,0.02
Tajikistan,TJK,2000,0.02
Tajikistan,TJK,2005,0.02
Tajikistan,TJK,2010,0.02
Tajikistan,TJK,2015,0.02
Tajikistan,TJK,2019,0.02
