Entity,Code,Year,Average performance of 15-year-old female students on the reading scale,Average performance of 15-year-old male students on the reading scale,Population (historical estimates),Continent
Argentina,ARG,2022,407.85742,393.6106,,
Brazil,BRA,2022,419.0065,401.63092,,
Cambodia,KHM,2022,338.08585,317.7743,,
Chile,CHL,2022,451.3539,444.7532,,
Cyprus,CYP,2022,408.7421,354.60413,,
Germany,DEU,2022,489.66937,470.26062,,
Guatemala,GTM,2022,378.75674,369.29898,,
Indonesia,IDN,2022,369.74457,346.82544,,
Jordan,JOR,2022,364.436,318.29538,,
Malaysia,MYS,2022,403.5653,372.55023,,
Malta,MLT,2022,465.31146,426.47583,,
Morocco,MAR,2022,350.37436,328.65225,,
Qatar,QAT,2022,439.55408,399.33975,,
Serbia,SRB,2022,453.4619,427.70056,,
Singapore,SGP,2022,552.5518,532.95325,,
Slovenia,SVN,2022,490.95966,447.29874,,
South Korea,KOR,2022,533.34357,499.10666,,
Sweden,SWE,2022,505.6106,468.89902,,
Thailand,THA,2022,391.48953,364.82483,,
Ukraine,UKR,2022,439.12048,415.9059,,
United Kingdom,GBR,2022,502.78674,486.29022,,
United States,USA,2022,514.6364,493.03098,,
Vietnam,VNM,2022,470.5979,452.59573,,
