Entity,Code,Year,Life expectancy,814480-annotations
Belgium,BEL,1870,40.9,
Belgium,BEL,1880,42.5,
Belgium,BEL,1900,46.7,
Belgium,BEL,1960,69.62,
Belgium,BEL,1980,73.24,
Belgium,BEL,2000,77.7665,
Belgium,BEL,2020,80.7884,
Colombia,COL,1870,25.332928,
Colombia,COL,1880,26.24658,
Colombia,COL,1900,29.0,
Colombia,COL,1960,56.8078,
Colombia,COL,1980,65.478,
Colombia,COL,2000,71.3201,
Colombia,COL,2020,74.7692,
Kuwait,KWT,1870,25.0,
Kuwait,KWT,1880,25.0,
Kuwait,KWT,1900,25.0,
Kuwait,KWT,1960,59.75854,
Kuwait,KWT,1980,70.254,
Kuwait,KWT,2000,76.722,
Kuwait,KWT,2020,76.9198,
Mali,MLI,1870,25.0,
Mali,MLI,1880,25.0,
Mali,MLI,1900,25.0,
Mali,MLI,1960,36.59561,
Mali,MLI,1980,40.029,
Mali,MLI,2000,50.5393,
Mali,MLI,2020,58.6331,
Niger,NER,1870,25.0,
Niger,NER,1880,25.0,
Niger,NER,1900,26.515196,
Niger,NER,1960,35.36341,
Niger,NER,1980,39.415,
Niger,NER,2000,49.3216,
Niger,NER,2020,61.4506,
Nigeria,NGA,1870,25.0,
Nigeria,NGA,1880,25.0,
Nigeria,NGA,1900,25.0,
Nigeria,NGA,1960,39.66341,
Nigeria,NGA,1980,44.755,
Nigeria,NGA,2000,47.1928,
Nigeria,NGA,2020,52.887,
Poland,POL,1870,31.34892,
Poland,POL,1880,32.11066,
Poland,POL,1900,36.973133,
Poland,POL,1960,67.82,
Poland,POL,1980,69.95,
Poland,POL,2000,73.7335,
Poland,POL,2020,76.9424,
Seychelles,SYC,1960,63.35,
Seychelles,SYC,1980,66.637,
Seychelles,SYC,2000,69.7218,
Seychelles,SYC,2020,73.5324,
Syria,SYR,1870,25.0,
Syria,SYR,1880,25.0,
Syria,SYR,1900,25.0,
Syria,SYR,1960,49.99854,
Syria,SYR,1980,63.008,
Syria,SYR,2000,70.7639,
Syria,SYR,2020,72.1399,
