Entity,Code,Year,"Population, female (% of total population)"
China,CHN,1960,48.86009
China,CHN,1970,49.04545
China,CHN,1980,49.092564
China,CHN,1990,49.05124
China,CHN,2000,48.872173
China,CHN,2010,48.8144
China,CHN,2021,48.940754
India,IND,1960,48.39484
India,IND,1970,48.28848
India,IND,1980,48.211735
India,IND,1990,48.30456
India,IND,2000,48.262913
India,IND,2010,48.286396
India,IND,2021,48.385757
Oman,OMN,1960,49.820614
Oman,OMN,1970,50.019756
Oman,OMN,1980,49.13579
Oman,OMN,1990,43.108433
Oman,OMN,2000,42.67824
Oman,OMN,2010,40.702534
Oman,OMN,2021,38.905304
United States,USA,1960,50.438736
United States,USA,1970,51.100216
United States,USA,1980,51.22385
United States,USA,1990,51.04417
United States,USA,2000,50.76924
United States,USA,2010,50.74508
United States,USA,2021,50.46207
