Entity,Code,Year,Sovereign state
German Democratic Republic,,1816,0
German Democratic Republic,,1850,0
German Democratic Republic,,1900,0
German Democratic Republic,,1950,0
German Democratic Republic,,2000,0
German Democratic Republic,,2020,0
German Democratic Republic,,2022,0
Guinea-Bissau,GNB,1816,0
Guinea-Bissau,GNB,1850,0
Guinea-Bissau,GNB,1900,0
Guinea-Bissau,GNB,1950,0
Guinea-Bissau,GNB,2000,1
Guinea-Bissau,GNB,2020,1
Guinea-Bissau,GNB,2022,1
Selangor,,1816,1
Selangor,,1850,1
Selangor,,1900,0
Selangor,,1950,0
Selangor,,2000,0
Selangor,,2020,0
Selangor,,2022,0
Tunisia,TUN,1816,1
Tunisia,TUN,1850,1
Tunisia,TUN,1900,0
Tunisia,TUN,1950,0
Tunisia,TUN,2000,1
Tunisia,TUN,2020,1
Tunisia,TUN,2022,1
