Entity,Code,Year,Prevalence of current tobacco use (% of adults),Continent,Prevalence of current tobacco use (% of adults).1,Year.1
Afghanistan,AFG,2000,36.9,,23.8,2018.0
Afghanistan,AFG,2018,23.8,,23.8,2018.0
Algeria,DZA,2000,22.2,,21.0,2018.0
Algeria,DZA,2018,21.0,,21.0,2018.0
Andorra,AND,2000,35.9,,32.0,2018.0
Andorra,AND,2018,32.0,,32.0,2018.0
Argentina,ARG,2000,34.0,,24.9,2018.0
Argentina,ARG,2018,24.9,,24.9,2018.0
Australia,AUS,2000,24.4,,14.0,2018.0
Australia,AUS,2018,14.0,,14.0,2018.0
Austria,AUT,2000,52.3,,27.1,2018.0
Austria,AUT,2018,27.1,,27.1,2018.0
Azerbaijan,AZE,2000,28.7,,24.2,2018.0
Azerbaijan,AZE,2018,24.2,,24.2,2018.0
Bahamas,BHS,2000,10.7,,10.7,2018.0
Bahamas,BHS,2018,10.7,,10.7,2018.0
Bahrain,BHR,2000,22.2,,15.2,2018.0
Bahrain,BHR,2018,15.2,,15.2,2018.0
Bangladesh,BGD,2000,57.6,,35.2,2018.0
Bangladesh,BGD,2018,35.2,,35.2,2018.0
Belarus,BLR,2000,41.8,,30.9,2018.0
Belarus,BLR,2018,30.9,,30.9,2018.0
Belize,BLZ,2000,15.0,,8.8,2018.0
Belize,BLZ,2018,8.8,,8.8,2018.0
Bolivia,BOL,2000,32.1,,13.2,2018.0
Bolivia,BOL,2018,13.2,,13.2,2018.0
Bosnia and Herzegovina,BIH,2000,46.6,,35.5,2018.0
Bosnia and Herzegovina,BIH,2018,35.5,,35.5,2018.0
Botswana,BWA,2000,33.2,,19.8,2018.0
Botswana,BWA,2018,19.8,,19.8,2018.0
Brunei,BRN,2000,16.7,,16.2,2018.0
Brunei,BRN,2018,16.2,,16.2,2018.0
Burkina Faso,BFA,2000,29.8,,14.9,2018.0
Burkina Faso,BFA,2018,14.9,,14.9,2018.0
Cambodia,KHM,2000,42.3,,21.9,2018.0
Cambodia,KHM,2018,21.9,,21.9,2018.0
Chile,CHL,2000,46.9,,29.9,2018.0
Chile,CHL,2018,29.9,,29.9,2018.0
Comoros,COM,2000,39.5,,20.8,2018.0
Comoros,COM,2018,20.8,,20.8,2018.0
Congo,COG,2000,11.9,,14.3,2018.0
Congo,COG,2018,14.3,,14.3,2018.0
Costa Rica,CRI,2000,18.0,,9.1,2018.0
Costa Rica,CRI,2018,9.1,,9.1,2018.0
Croatia,HRV,2000,34.4,,36.7,2018.0
Croatia,HRV,2018,36.7,,36.7,2018.0
Cuba,CUB,2000,40.8,,18.7,2018.0
Cuba,CUB,2018,18.7,,18.7,2018.0
Cyprus,CYP,2000,40.9,,35.5,2018.0
Cyprus,CYP,2018,35.5,,35.5,2018.0
Denmark,DNK,2000,37.3,,18.1,2018.0
Denmark,DNK,2018,18.1,,18.1,2018.0
East Timor,TLS,2000,53.5,,39.8,2018.0
East Timor,TLS,2018,39.8,,39.8,2018.0
Egypt,EGY,2000,24.3,,24.4,2018.0
Egypt,EGY,2018,24.4,,24.4,2018.0
Ethiopia,ETH,2000,6.8,,5.2,2018.0
Ethiopia,ETH,2018,5.2,,5.2,2018.0
Fiji,FJI,2000,32.3,,23.4,2018.0
Fiji,FJI,2018,23.4,,23.4,2018.0
Georgia,GEO,2000,32.8,,31.7,2018.0
Georgia,GEO,2018,31.7,,31.7,2018.0
Greece,GRC,2000,54.9,,34.5,2018.0
Greece,GRC,2018,34.5,,34.5,2018.0
Guatemala,GTM,2000,14.3,,11.0,2018.0
Guatemala,GTM,2018,11.0,,11.0,2018.0
Haiti,HTI,2000,12.3,,7.9,2018.0
Haiti,HTI,2018,7.9,,7.9,2018.0
India,IND,2000,54.5,,28.1,2018.0
India,IND,2018,28.1,,28.1,2018.0
Iraq,IRQ,2000,22.0,,18.8,2018.0
Iraq,IRQ,2018,18.8,,18.8,2018.0
Ireland,IRL,2000,35.6,,21.4,2018.0
Ireland,IRL,2018,21.4,,21.4,2018.0
Jordan,JOR,2000,30.7,,34.6,2018.0
Jordan,JOR,2018,34.6,,34.6,2018.0
Kiribati,KIR,2000,68.5,,41.7,2018.0
Kiribati,KIR,2018,41.7,,41.7,2018.0
Kyrgyzstan,KGZ,2000,31.4,,27.6,2018.0
Kyrgyzstan,KGZ,2018,27.6,,27.6,2018.0
Laos,LAO,2000,52.5,,32.5,2018.0
Laos,LAO,2018,32.5,,32.5,2018.0
Latvia,LVA,2000,43.8,,37.2,2018.0
Latvia,LVA,2018,37.2,,37.2,2018.0
Lebanon,LBN,2000,40.2,,38.4,2018.0
Lebanon,LBN,2018,38.4,,38.4,2018.0
Malawi,MWI,2000,24.1,,11.3,2018.0
Malawi,MWI,2018,11.3,,11.3,2018.0
Marshall Islands,MHL,2000,28.5,,28.4,2018.0
Marshall Islands,MHL,2018,28.4,,28.4,2018.0
Mauritania,MRT,2000,21.3,,11.1,2018.0
Mauritania,MRT,2018,11.1,,11.1,2018.0
Mauritius,MUS,2000,25.5,,20.5,2018.0
Mauritius,MUS,2018,20.5,,20.5,2018.0
Moldova,MDA,2000,25.3,,28.7,2018.0
Moldova,MDA,2018,28.7,,28.7,2018.0
Montenegro,MNE,2000,38.7,,31.8,2018.0
Montenegro,MNE,2018,31.8,,31.8,2018.0
Myanmar,MMR,2000,66.9,,45.1,2018.0
Myanmar,MMR,2018,45.1,,45.1,2018.0
Nauru,NRU,2000,63.4,,49.2,2018.0
Nauru,NRU,2018,49.2,,49.2,2018.0
Nepal,NPL,2000,64.5,,31.5,2018.0
Nepal,NPL,2018,31.5,,31.5,2018.0
Niger,NER,2000,9.7,,7.6,2018.0
Niger,NER,2018,7.6,,7.6,2018.0
