Entity,Code,Year,Swine / pigs | 00001034 || Stocks | 005111 || animals
Brazil,BRA,1961,25579856
Brazil,BRA,1970,30846000
Brazil,BRA,1980,34183008
Brazil,BRA,1990,33623184
Brazil,BRA,2000,31562112
Brazil,BRA,2010,38956760
Brazil,BRA,2021,42538652
China,CHN,1961,82270000
China,CHN,1970,172510000
China,CHN,1980,319705088
China,CHN,1990,345754816
China,CHN,2000,431441984
China,CHN,2010,467652512
China,CHN,2021,449224192
India,IND,1961,5176000
India,IND,1970,6000000
India,IND,1980,9000000
India,IND,1990,11900000
India,IND,2000,13403000
India,IND,2010,10640000
India,IND,2021,8828127
United States,USA,1961,55560000
United States,USA,1970,57046000
United States,USA,1980,67318000
United States,USA,1990,53788000
United States,USA,2000,59110300
United States,USA,2010,64925000
United States,USA,2021,74146096
