Entity,Code,Year,"15.a.1 - Total official development assistance for biodiversity, by recipient countries (millions of constant 2021 United States dollars) - DC_ODA_BDVL"
Liberia,LBR,2005,50000.0
Liberia,LBR,2010,20320000.0
Liberia,LBR,2015,27990000.0
Liberia,LBR,2021,10010000.0
Madagascar,MDG,2002,23790000.0
Madagascar,MDG,2005,57490000.0
Madagascar,MDG,2010,3810000.0
Madagascar,MDG,2015,72640000.0
Madagascar,MDG,2021,107730000.0
Turkmenistan,TKM,2010,4260000.0
Venezuela,VEN,2002,1640000.0
Venezuela,VEN,2005,20000.0
Venezuela,VEN,2010,770000.0
Venezuela,VEN,2015,350000.0
Venezuela,VEN,2021,280000.0
