Entity,Code,Year,"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)",Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Albania,ALB,2021,11.93,11.736,2854710.0,
Algeria,DZA,2021,22.132,10.437,44177964.0,
Argentina,ARG,2021,13.277,9.113,45276788.0,
Armenia,ARM,2021,22.301,19.757,2790971.0,
Asia,,2021,,,4693332132.0,
Bahrain,BHR,2021,5.631,0.973,1463266.0,
Bangladesh,BGD,2021,7.872,4.074,169356240.0,
Belarus,BLR,2021,3.757,5.672,9578172.0,
Bolivia,BOL,2021,10.725,6.687,12079474.0,
Bosnia and Herzegovina,BIH,2021,17.722,13.579,3270948.0,
Botswana,BWA,2021,25.829,23.662,2588424.0,
Brazil,BRA,2021,17.682,11.907,214326224.0,
Cape Verde,CPV,2021,15.016,15.731,587936.0,
China,CHN,2021,4.263,5.261,1425893504.0,
Congo,COG,2021,24.708,21.353,5835814.0,
Djibouti,DJI,2021,39.358,24.555,1105562.0,
Egypt,EGY,2021,24.279,5.906,109262184.0,
Eswatini,SWZ,2021,27.987,23.747,1192273.0,
Ethiopia,ETH,2021,4.704,2.818,120283024.0,
Europe,,2021,,,746417727.0,
Fiji,FJI,2021,6.685,4.526,924615.0,
France,FRA,2021,8.012,8.11,64531448.0,
Gabon,GAB,2021,30.5,16.863,2341185.0,
Guam,GUM,2021,6.802,7.126,170546.0,
Guyana,GUY,2021,19.524,14.474,804571.0,
Iran,IRN,2021,18.956,9.894,87923432.0,
Iraq,IRQ,2021,32.819,11.335,43533592.0,
Italy,ITA,2021,11.256,8.781,59240336.0,
Japan,JPN,2021,2.538,3.006,124612528.0,
Kuwait,KWT,2021,8.938,2.007,4250111.0,
Libya,LBY,2021,26.835,15.548,6735280.0,
Mali,MLI,2021,8.847,6.887,21904990.0,
Montenegro,MNE,2021,19.321,17.815,627856.0,
Namibia,NAM,2021,20.618,22.701,2530150.0,
Niger,NER,2021,0.664,0.815,25252722.0,
Nigeria,NGA,2021,8.81,10.563,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Oman,OMN,2021,12.927,1.713,4520474.0,
Palestine,PSE,2021,39.728,21.241,5133393.0,
Panama,PAN,2021,15.833,9.453,4351264.0,
Sao Tome and Principe,STP,2021,22.936,12.128,223118.0,
Saudi Arabia,SAU,2021,21.573,3.716,35950396.0,
Somalia,SOM,2021,25.937,17.103,17065588.0,
South Africa,ZAF,2021,35.68,31.836,59392256.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2021,31.818,14.625,45657204.0,
Syria,SYR,2021,23.241,7.712,21324366.0,
Tajikistan,TJK,2021,6.371,8.588,9750078.0,
Tunisia,TUN,2021,24.714,13.706,12262949.0,
Turkey,TUR,2021,15.616,12.314,84775408.0,
Yemen,YEM,2021,26.282,12.446,32981644.0,
Zambia,ZMB,2021,13.81,12.294,19473132.0,
