Entity,Code,Year,Total (reported) polio cases per million
El Salvador,SLV,1980,11.98
El Salvador,SLV,1985,5.672
El Salvador,SLV,1990,0.0
El Salvador,SLV,1995,0.0
El Salvador,SLV,2000,0.0
El Salvador,SLV,2005,0.0
El Salvador,SLV,2010,0.0
El Salvador,SLV,2015,0.0
El Salvador,SLV,2021,0.0
Kyrgyzstan,KGZ,1995,0.0
Kyrgyzstan,KGZ,2000,0.0
Kyrgyzstan,KGZ,2005,0.0
Kyrgyzstan,KGZ,2010,0.0
Kyrgyzstan,KGZ,2015,0.0
Kyrgyzstan,KGZ,2021,0.0
Pakistan,PAK,1980,38.179
Pakistan,PAK,1985,23.419
Pakistan,PAK,1990,7.218
Pakistan,PAK,1995,4.104
Pakistan,PAK,2000,1.398
Pakistan,PAK,2005,0.175
Pakistan,PAK,2010,0.803
Pakistan,PAK,2015,0.281
Pakistan,PAK,2021,0.04
Palestine,PSE,2005,0.0
Palestine,PSE,2010,0.0
Palestine,PSE,2015,0.0
Palestine,PSE,2021,0.0
Sudan,SDN,1980,286.129
Sudan,SDN,1985,9.936
Sudan,SDN,1990,0.199
Sudan,SDN,1995,0.913
Sudan,SDN,2000,2.896
Sudan,SDN,2005,0.872
Sudan,SDN,2010,0.0
Sudan,SDN,2015,0.0
Sudan,SDN,2021,0.0
