Entity,Code,Year,Tourism GDP as a proportion of Total
Canada,CAN,2008,1.9106842
Canada,CAN,2010,1.9197601
Canada,CAN,2012,1.9225541
Canada,CAN,2014,1.8857429
Canada,CAN,2016,2.0822828
Canada,CAN,2018,2.0902102
Canada,CAN,2020,1.0
Canada,CAN,2021,1.0
Croatia,HRV,2016,11.396074
Czechia,CZE,2008,2.5588515
Czechia,CZE,2010,2.5107954
Czechia,CZE,2012,2.724421
Czechia,CZE,2014,2.7124748
Czechia,CZE,2016,2.8961742
Czechia,CZE,2018,2.8821523
Czechia,CZE,2020,1.4804542
Malawi,MWI,2014,3.5
Malawi,MWI,2016,3.4
Malawi,MWI,2018,3.4
Malawi,MWI,2020,1.6
Namibia,NAM,2010,2.6
Namibia,NAM,2012,2.9
Namibia,NAM,2014,3.0
Namibia,NAM,2016,3.0
Namibia,NAM,2020,5.6
Vietnam,VNM,2014,6.14
Vietnam,VNM,2016,6.96
Vietnam,VNM,2018,8.39
