Entity,Code,Year,share_employed_agri,GDP per capita,417485-annotations,Population (historical estimates),Continent
Afghanistan,AFG,2018,43.13000107,1934.555,,36686788.0,
Africa,,2018,,,,1295265310.0,
Argentina,ARG,2018,0.100000001,18556.383,,44413592.0,
Asia,,2018,,,,4588802751.0,
Azerbaijan,AZE,2018,36.25999832,16628.055,,10152524.0,
Benin,BEN,2018,39.08000183,2220.1765,,11940688.0,
Brazil,BRA,2018,9.260000229,14033.565,,210166592.0,
Burundi,BDI,2018,86.25,651.3589,,11493476.0,
Cambodia,KHM,2018,36.38000107,3628.561,,16025242.0,
China,CHN,2018,26.06999969,13101.706,,1417069440.0,
Congo,COG,2018,33.74000168,5714.592,,5441061.0,
Djibouti,DJI,2018,25.46999931,3295.6814,,1057204.0,
Equatorial Guinea,GNQ,2018,39.15000153,28528.953,,1502102.0,
Ethiopia,ETH,2018,67.29000092,1838.4904,,111129440.0,
Europe,,2018,,,,746577709.0,
Gabon,GAB,2018,30.59000015,17613.557,,2192013.0,
Georgia,GEO,2018,38.90000153,11984.905,,3772323.0,
Ghana,GHA,2018,31.04999924,4267.067,,30870648.0,
Haiti,HTI,2018,29.21999931,1729.0432,,11012427.0,
India,IND,2018,43.33000183,6806.4985,,1369003264.0,
Iran,IRN,2018,17.69000053,17011.305,,85617560.0,
Iraq,IRQ,2018,18.81999969,12835.8125,,40590700.0,
Japan,JPN,2018,3.49000001,38673.81,,126255872.0,
Kazakhstan,KAZ,2018,15.77000046,25307.555,,18538100.0,
Kenya,KEN,2018,55.08000183,3377.4705,,49953300.0,
Kyrgyzstan,KGZ,2018,20.43000031,5176.9883,,6223503.0,
Laos,LAO,2018,62.36999893,6450.9067,,7105008.0,
Liberia,LBR,2018,42.77999878,818.4211,,4889396.0,
Malawi,MWI,2018,76.63999939,1116.6403,,18367886.0,
Malaysia,MYS,2018,10.63000011,24842.355,,32399270.0,
Mali,MLI,2018,63.0,1667.295,,19934304.0,
Morocco,MAR,2018,34.15000153,8451.136,,35927516.0,
Mozambique,MOZ,2018,70.58999634,1132.7709,,29423882.0,
North America,,2018,1.382897565,,,585864285.0,
Oceania,,2018,,,,42540030.0,
Pakistan,PAK,2018,37.41999817,5510.3965,,219731488.0,
Palestine,PSE,2018,6.320000172,5207.757,,4805549.0,
Philippines,PHL,2018,24.29000092,8139.1396,,108568832.0,
Qatar,QAT,2018,1.210000038,153764.17,,2766743.0,
Romania,ROU,2018,22.30999947,20126.293,,19606778.0,
Russia,RUS,2018,5.880000114,24668.908,,145652288.0,
Sierra Leone,SLE,2018,55.36000061,1683.8497,,7861287.0,
Slovakia,SVK,2018,2.289999962,27075.535,,5446746.0,
South Africa,ZAF,2018,5.159999847,12165.795,,57339632.0,
South America,,2018,,,,424740741.0,
Syria,SYR,2018,10.65999985,3349.4597,,19333464.0,
Tajikistan,TJK,2018,45.75999832,4440.382,,9128131.0,
Tanzania,TZA,2018,65.66999817,2874.963,,58090444.0,
Togo,TGO,2018,33.09999847,1451.3608,,8046680.0,
Uganda,UGA,2018,72.44999695,2045.4203,,41515400.0,
Ukraine,UKR,2018,14.42000008,9813.363,,44446952.0,
United States,USA,2018,1.370000005,55334.74,,332140032.0,
Yemen,YEM,2018,28.30999947,2284.89,,30790514.0,
Zambia,ZMB,2018,50.11000061,3534.0337,,17835898.0,
