Entity,Code,Year,"Number of new cases of acute hepatitis b per 100,000 people, in both sexes aged all ages"
Lower Middle Income (WB),,1990,1566.6145
Lower Middle Income (WB),,1995,1537.562
Lower Middle Income (WB),,2000,1496.346
Lower Middle Income (WB),,2005,1416.5116
Lower Middle Income (WB),,2010,1326.8339
Lower Middle Income (WB),,2015,1212.3838
Lower Middle Income (WB),,2019,1125.2749
North America (WB),,1990,180.07884
North America (WB),,1995,168.20122
North America (WB),,2000,156.59773
North America (WB),,2005,147.69885
North America (WB),,2010,131.55168
North America (WB),,2015,122.96607
North America (WB),,2019,109.39023
Tanzania,TZA,1990,2477.817
Tanzania,TZA,1995,2386.0266
Tanzania,TZA,2000,2333.9863
Tanzania,TZA,2005,2114.1633
Tanzania,TZA,2010,1816.931
Tanzania,TZA,2015,1575.9392
Tanzania,TZA,2019,1343.8882
Uganda,UGA,1990,2654.1863
Uganda,UGA,1995,2616.133
Uganda,UGA,2000,2500.5974
Uganda,UGA,2005,2019.7726
Uganda,UGA,2010,1757.7444
Uganda,UGA,2015,1522.137
Uganda,UGA,2019,1313.103
