Entity,Code,Year,IIASA rates of no education projections (IIASA (2015))
Argentina,ARG,1970,9.9872584
Argentina,ARG,1980,7.3567607
Argentina,ARG,1990,5.2273583
Argentina,ARG,2000,3.5656642
Argentina,ARG,2010,2.3895133
Argentina,ARG,2020,1.5755135999999998
Argentina,ARG,2030,1.0175081
Argentina,ARG,2040,0.6354942
Argentina,ARG,2050,0.3729542
Brazil,BRA,1970,32.8603064
Brazil,BRA,1980,23.6822752
Brazil,BRA,1990,16.9918968
Brazil,BRA,2000,11.8251608
Brazil,BRA,2010,8.3287854
Brazil,BRA,2020,5.7204806
Brazil,BRA,2030,3.8225455
Brazil,BRA,2040,2.4732781
Brazil,BRA,2050,1.509016
Chad,TCD,1970,90.2826194
Chad,TCD,1980,83.091846
Chad,TCD,1990,74.1191317
Chad,TCD,2000,64.0281895
Chad,TCD,2010,52.9414769
Chad,TCD,2020,42.6553236
Chad,TCD,2030,33.5943469
Chad,TCD,2040,26.0268832
Chad,TCD,2050,19.9732832
China,CHN,1970,40.7423762
China,CHN,1980,27.293750700000004
China,CHN,1990,17.1681793
China,CHN,2000,11.3575003
China,CHN,2010,7.055341299999999
China,CHN,2020,4.2889335
China,CHN,2030,2.5463119
China,CHN,2040,1.468448
China,CHN,2050,0.8107787999999999
Egypt,EGY,1970,67.6210623
Egypt,EGY,1980,56.0675335
Egypt,EGY,1990,44.3442328
Egypt,EGY,2000,32.560331999999995
Egypt,EGY,2010,23.9760694
Egypt,EGY,2020,17.5107099
Egypt,EGY,2030,12.4680923
Egypt,EGY,2040,8.6578596
Egypt,EGY,2050,5.7994285
Germany,DEU,1970,0.0001309999999999
Germany,DEU,1980,3.77e-05
Germany,DEU,1990,6.29e-06
Germany,DEU,2000,1.03e-07
India,IND,1970,62.5368612
India,IND,1980,56.3377664
India,IND,1990,49.8398726
India,IND,2000,41.3445464
India,IND,2010,33.4392988
India,IND,2020,26.706187999999997
India,IND,2030,21.0214454
India,IND,2040,16.2199339
India,IND,2050,12.1625165
Laos,LAO,1970,62.9989279
Laos,LAO,1980,51.215005999999995
Laos,LAO,1990,41.9545519
Laos,LAO,2000,33.348057399999995
Laos,LAO,2010,24.9901401
Laos,LAO,2020,19.1556004
Laos,LAO,2030,14.6856436
Laos,LAO,2040,11.1067449
Laos,LAO,2050,8.285154
Nepal,NPL,1970,87.2052303
Nepal,NPL,1980,78.93460060000001
Nepal,NPL,1990,68.5160559
Nepal,NPL,2000,54.8607956
Nepal,NPL,2010,41.6592108
Nepal,NPL,2020,31.4864925
Nepal,NPL,2030,23.5195337
Nepal,NPL,2040,17.1411455
Nepal,NPL,2050,12.2174596
Nigeria,NGA,1970,74.5071128
Nigeria,NGA,1980,63.0835414
Nigeria,NGA,1990,51.5822238
Nigeria,NGA,2000,39.772976799999995
Nigeria,NGA,2010,29.921087
Nigeria,NGA,2020,21.9472075
Nigeria,NGA,2030,15.8853176
Nigeria,NGA,2040,11.4535542
Nigeria,NGA,2050,8.1886288
South Africa,ZAF,1970,40.1415885
South Africa,ZAF,1980,30.1240213
South Africa,ZAF,1990,21.6667961
South Africa,ZAF,2000,15.0276933
South Africa,ZAF,2010,10.0649862
South Africa,ZAF,2020,6.410216500000001
South Africa,ZAF,2030,3.9151884
South Africa,ZAF,2040,2.2469554
South Africa,ZAF,2050,1.1816013
United Kingdom,GBR,1970,0.000118
United Kingdom,GBR,1980,3.59e-05
United Kingdom,GBR,1990,6.9499999999e-06
United Kingdom,GBR,2000,1.86e-07
United States,USA,1970,1.774331
United States,USA,1980,1.1031189
United States,USA,1990,0.7018089
United States,USA,2000,0.4635465
United States,USA,2010,0.3043373
United States,USA,2020,0.2046988
United States,USA,2030,0.1364276999999999
United States,USA,2040,0.0845548
United States,USA,2050,0.0459452
Vietnam,VNM,1970,31.1887424
Vietnam,VNM,1980,19.4959106
Vietnam,VNM,1990,12.7506143
Vietnam,VNM,2000,9.02702
Vietnam,VNM,2010,6.4456287
Vietnam,VNM,2020,4.8452268
Vietnam,VNM,2030,3.7273735
Vietnam,VNM,2040,2.908301
Vietnam,VNM,2050,2.2114779
