Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: non-state conflict
Afghanistan,AFG,1989,237
Afghanistan,AFG,1995,107
Afghanistan,AFG,2000,0
Afghanistan,AFG,2005,0
Afghanistan,AFG,2010,99
Afghanistan,AFG,2015,532
Afghanistan,AFG,2020,0
Afghanistan,AFG,2022,0
Ethiopia,ETH,1989,0
Ethiopia,ETH,1995,1000
Ethiopia,ETH,2000,392
Ethiopia,ETH,2005,164
Ethiopia,ETH,2010,0
Ethiopia,ETH,2015,0
Ethiopia,ETH,2020,572
Ethiopia,ETH,2022,0
Iraq,IRQ,1989,0
Iraq,IRQ,1995,545
Iraq,IRQ,2000,132
Iraq,IRQ,2005,0
Iraq,IRQ,2010,0
Iraq,IRQ,2015,26
Iraq,IRQ,2020,0
Iraq,IRQ,2022,0
Mexico,MEX,1989,0
Mexico,MEX,1995,1
Mexico,MEX,2000,0
Mexico,MEX,2005,204
Mexico,MEX,2010,3527
Mexico,MEX,2015,1613
Mexico,MEX,2020,16364
Mexico,MEX,2022,14126
Syria,SYR,1989,0
Syria,SYR,1995,0
Syria,SYR,2000,0
Syria,SYR,2005,0
Syria,SYR,2010,0
Syria,SYR,2015,5802
Syria,SYR,2020,701
Syria,SYR,2022,596
Ukraine,UKR,1989,0
Ukraine,UKR,1995,0
Ukraine,UKR,2000,0
Ukraine,UKR,2005,0
Ukraine,UKR,2010,0
Ukraine,UKR,2015,0
Ukraine,UKR,2020,0
Ukraine,UKR,2022,0
