Entity,Code,Year,"1.a.1 - Official development assistance grants for poverty reduction, by donor countries (percentage of GNI) - DC_ODA_POVDLG"
Italy,ITA,2000,0.01
Italy,ITA,2005,0.0
Italy,ITA,2010,0.0
Italy,ITA,2015,0.0
Italy,ITA,2021,0.01
Spain,ESP,2000,0.01
Spain,ESP,2005,0.02
Spain,ESP,2010,0.04
Spain,ESP,2015,0.0
Spain,ESP,2021,0.03
Switzerland,CHE,2000,0.04
Switzerland,CHE,2005,0.01
Switzerland,CHE,2010,0.01
Switzerland,CHE,2015,0.04
Switzerland,CHE,2021,0.06
United Arab Emirates,ARE,2010,0.01
United Arab Emirates,ARE,2015,0.03
United Arab Emirates,ARE,2021,0.09
