Entity,Code,Year,regime_fh
Argentina,ARG,1972,1
Argentina,ARG,1980,0
Argentina,ARG,1990,2
Argentina,ARG,2000,2
Argentina,ARG,2010,2
Argentina,ARG,2022,2
Australia,AUS,1972,2
Australia,AUS,1980,2
Australia,AUS,1990,2
Australia,AUS,2000,2
Australia,AUS,2010,2
Australia,AUS,2022,2
Botswana,BWA,1972,1
Botswana,BWA,1980,2
Botswana,BWA,1990,2
Botswana,BWA,2000,2
Botswana,BWA,2010,2
Botswana,BWA,2022,2
China,CHN,1972,0
China,CHN,1980,0
China,CHN,1990,0
China,CHN,2000,0
China,CHN,2010,0
China,CHN,2022,0
