Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized",Primary energy consumption per capita (kWh/person),Population (historical estimates),Continent
Afghanistan,AFG,2019,179.45535,802.61255,37769496.0,
Africa,,2019,,4187.6562,1327701380.0,
Angola,AGO,2019,68.38518,3667.4238,32353592.0,
Asia,,2019,,18214.143,4627738749.0,
Benin,BEN,2019,143.48445,2416.162,12290443.0,
Bhutan,BTN,2019,70.04097,27251.602,767467.0,
Brazil,BRA,2019,6.2983255,16681.945,211782880.0,
Burundi,BDI,2019,186.15117,309.34055,11874838.0,
Central African Republic,CAF,2019,251.24039,299.18008,5209329.0,
China,CHN,2019,20.729332,28277.445,1421864064.0,
Democratic Republic of Congo,COD,2019,156.9232,443.11774,89906896.0,
Djibouti,DJI,2019,32.754246,2848.7866,1073999.0,
Egypt,EGY,2019,0.12717682,9919.544,105618672.0,
Ethiopia,ETH,2019,129.95076,921.99115,114120592.0,
Europe,,2019,,40732.324,747418251.0,
Guinea-Bissau,GNB,2019,198.90402,703.1273,1970460.0,
India,IND,2019,59.58832,6731.805,1383112064.0,
Indonesia,IDN,2019,40.952076,8474.4795,269582880.0,
Italy,ITA,2019,0.07206454,30464.062,59727936.0,
Japan,JPN,2019,0.021538114,40868.688,125791680.0,
Laos,LAO,2019,155.40918,18251.771,7212058.0,
Malawi,MWI,2019,141.89943,537.8198,18867340.0,
Mozambique,MOZ,2019,185.45926,2446.9106,30285602.0,
Myanmar,MMR,2019,119.72459,3197.22,53040212.0,
Namibia,NAM,2019,56.274113,9254.443,2446648.0,
Nepal,NPL,2019,113.24512,1700.5831,28832500.0,
Nicaragua,NIC,2019,45.45284,4225.4365,6663919.0,
Niger,NER,2019,199.51459,468.4848,23443400.0,
Nigeria,NGA,2019,83.22526,2482.8318,203304496.0,
North America,,2019,,56745.273,590497015.0,
Oceania,,2019,,44926.96,43278474.0,
Pakistan,PAK,2019,92.62799,4400.1157,223293280.0,
Papua New Guinea,PNG,2019,229.51721,3159.5166,9542492.0,
Qatar,QAT,2019,0.008503593,208021.3,2807242.0,
Russia,RUS,2019,1.05294,57486.2,145742288.0,
Rwanda,RWA,2019,122.665215,525.5729,12835029.0,
Samoa,WSM,2019,100.90056,7697.959,211915.0,
Solomon Islands,SLB,2019,397.25952,2027.3756,675000.0,
Somalia,SOM,2019,272.01663,227.57283,15981312.0,
South America,,2019,,16361.665,428318218.0,
Sri Lanka,LKA,2019,29.615784,4973.5986,21649664.0,
Sudan,SDN,2019,59.142162,2459.3628,43232092.0,
Syria,SYR,2019,0.16772713,6154.949,20098252.0,
Turkey,TUR,2019,0.28646532,21973.062,83481688.0,
United States,USA,2019,0.026754245,79489.016,334319680.0,
Uzbekistan,UZB,2019,21.37508,16212.221,32976946.0,
World,OWID_WRL,2019,30.145676,21012.797,7764951040.0,
Yemen,YEM,2019,69.576546,1475.9852,31546694.0,
