Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: All Ages (Number)
African Region (WHO),,1990,588508
African Region (WHO),,1995,668983
African Region (WHO),,2000,763846
African Region (WHO),,2005,831177
African Region (WHO),,2010,804031
African Region (WHO),,2015,631381
African Region (WHO),,2019,590252
Eastern Mediterranean Region (WHO),,1990,28031
Eastern Mediterranean Region (WHO),,1995,28515
Eastern Mediterranean Region (WHO),,2000,23604
Eastern Mediterranean Region (WHO),,2005,14909
Eastern Mediterranean Region (WHO),,2010,16540
Eastern Mediterranean Region (WHO),,2015,14790
Eastern Mediterranean Region (WHO),,2019,15985
European Region (WHO),,1990,607
European Region (WHO),,1995,241
European Region (WHO),,2000,116
European Region (WHO),,2005,137
European Region (WHO),,2010,1
European Region (WHO),,2015,0
European Region (WHO),,2019,0
Region of the Americas (WHO),,1990,7886
Region of the Americas (WHO),,1995,7424
Region of the Americas (WHO),,2000,5512
Region of the Americas (WHO),,2005,2462
Region of the Americas (WHO),,2010,2675
Region of the Americas (WHO),,2015,964
Region of the Americas (WHO),,2019,1342
South-East Asia Region (WHO),,1990,210327
South-East Asia Region (WHO),,1995,153096
South-East Asia Region (WHO),,2000,84823
South-East Asia Region (WHO),,2005,88131
South-East Asia Region (WHO),,2010,83267
South-East Asia Region (WHO),,2015,54421
South-East Asia Region (WHO),,2019,34416
Western Pacific Region (WHO),,1990,4939
Western Pacific Region (WHO),,1995,4366
Western Pacific Region (WHO),,2000,4159
Western Pacific Region (WHO),,2005,3727
Western Pacific Region (WHO),,2010,3304
Western Pacific Region (WHO),,2015,1334
Western Pacific Region (WHO),,2019,1208
