Entity,Code,Year,"Terrorism deaths per 100,000 people"
Canada,CAN,1978,0.0
Canada,CAN,1990,0.0
Canada,CAN,2000,0.0
Canada,CAN,2010,0.0
Canada,CAN,2021,0.010483551
Czechia,CZE,2000,0.0
Czechia,CZE,2010,0.0
Czechia,CZE,2021,0.0
South Africa,ZAF,1978,0.021471934
South Africa,ZAF,1990,0.37615132
South Africa,ZAF,2000,0.038450636
South Africa,ZAF,2010,0.0
South Africa,ZAF,2021,0.01346977
United Kingdom,GBR,1978,0.14402364
United Kingdom,GBR,1990,0.13284288
United Kingdom,GBR,2000,0.011894639
United Kingdom,GBR,2010,0.0
United Kingdom,GBR,2021,0.0014863028
