Entity,Code,Year,Share of global annual CO₂ consumption-based emissions
Colombia,COL,1990,0.2726114
Colombia,COL,1995,0.2844212
Colombia,COL,2000,0.21382415
Colombia,COL,2005,0.2147917
Colombia,COL,2010,0.25622687
Colombia,COL,2015,0.30905804
Colombia,COL,2021,0.2852008
Malta,MLT,1990,0.014923663
Malta,MLT,1995,0.015841808
Malta,MLT,2000,0.018066036
Malta,MLT,2005,0.011139656
Malta,MLT,2010,0.017734358
Malta,MLT,2015,0.02376358
Malta,MLT,2021,0.027805014
Mongolia,MNG,1990,0.039178483
Mongolia,MNG,1995,0.025279813
Mongolia,MNG,2000,0.027646815
Mongolia,MNG,2005,0.029484535
Mongolia,MNG,2010,0.044068355
Mongolia,MNG,2015,0.06629332
Mongolia,MNG,2021,0.09568354
South Korea,KOR,1990,1.4090385
South Korea,KOR,1995,1.9198245
South Korea,KOR,2000,1.9027357
South Korea,KOR,2005,1.9644939
South Korea,KOR,2010,1.9531604
South Korea,KOR,2015,1.8826373
South Korea,KOR,2021,1.8718466
