Entity,Code,Year,Under-five mortality rate
Brazil,BRA,1950,21.52132
Brazil,BRA,2021,1.4410983
Brazil,BRA,2000,3.4730287
France,FRA,1850,23.814
France,FRA,1900,22.397999
France,FRA,2021,0.4353803
France,FRA,1950,5.7173643
France,FRA,2000,0.53936845
India,IND,1950,26.682999
India,IND,2021,3.0619214
India,IND,2000,9.163371
Sweden,SWE,1800,38.111
Sweden,SWE,1850,21.793
Sweden,SWE,1900,15.519
Sweden,SWE,2021,0.24645145
Sweden,SWE,1950,2.7126665
Sweden,SWE,2000,0.40967202
United Kingdom,GBR,1850,24.74
United Kingdom,GBR,1900,22.546001
United Kingdom,GBR,2021,0.41853985
United Kingdom,GBR,1950,3.6598117
United Kingdom,GBR,2000,0.65480167
United States,USA,2021,0.624298
United States,USA,1950,3.761519
United States,USA,2000,0.8448663
