Entity,Code,Year,Share of waste landfilled from total regional waste
Americas (excl. USA),,2000,61.355328
Americas (excl. USA),,2019,60.10561
Asia (excl. China and India),,2000,48.82608
Asia (excl. China and India),,2019,39.38922
China,CHN,2000,25.594213
China,CHN,2019,36.384026
Europe,,2000,68.048134
Europe,,2019,44.200645
Middle East & North Africa,,2000,50.668125
Middle East & North Africa,,2019,54.14757
Oceania,,2000,75.05197
Oceania,,2019,74.86611
Sub-Saharan Africa,,2000,27.664953
Sub-Saharan Africa,,2019,30.167952
United States,USA,2000,74.41184
United States,USA,2019,72.880005
World,OWID_WRL,2000,59.4045
World,OWID_WRL,2019,49.205143
