Entity,Code,Year,"Death rate per 100,000 people - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: ALLAges"
Bulgaria,BGR,2000,996.56
Bulgaria,BGR,2005,982.15
Bulgaria,BGR,2010,1004.14
Bulgaria,BGR,2015,976.5
Bulgaria,BGR,2019,984.04
France,FRA,2000,280.52
France,FRA,2005,250.95
France,FRA,2010,238.14
France,FRA,2015,235.52
France,FRA,2019,228.3
Russia,RUS,2000,866.45
Russia,RUS,2005,924.13
Russia,RUS,2010,820.52
Russia,RUS,2015,721.77
Russia,RUS,2019,687.46
Ukraine,UKR,2000,903.39
Ukraine,UKR,2005,1018.14
Ukraine,UKR,2010,984.62
Ukraine,UKR,2015,898.22
Ukraine,UKR,2019,869.32
