Entity,Code,Year,Death rate in ongoing wars (low estimate) - Conflict type: civil war,Death rate in ongoing wars (low estimate) - Conflict type: others (non-civil)
World,OWID_WRL,1816,0.23216525,0.20262553
World,OWID_WRL,1823,0.30075806,0.43772808
World,OWID_WRL,1830,0.2599835,0.29221287
World,OWID_WRL,1837,0.015616376,0.38908035
World,OWID_WRL,1844,0.055346575,0.34832948
World,OWID_WRL,1851,0.53077495,0.24935317
World,OWID_WRL,1858,1.3166217,0.14263466
World,OWID_WRL,1865,2.586653,1.3437731
World,OWID_WRL,1872,0.0,0.21409114
World,OWID_WRL,1879,0.0,0.95711476
World,OWID_WRL,1886,0.0,0.5713564
World,OWID_WRL,1893,0.0,0.9965129
World,OWID_WRL,1900,1.5297091,0.50462043
World,OWID_WRL,1907,0.0,0.058147628
World,OWID_WRL,1914,0.0,70.4957
World,OWID_WRL,1921,0.9856536,1.1343755
World,OWID_WRL,1928,1.2875715,0.0
World,OWID_WRL,1935,0.0,0.70712465
World,OWID_WRL,1942,0.0,180.71945
World,OWID_WRL,1949,12.143154,0.13863434
World,OWID_WRL,1956,0.0,0.04272067
World,OWID_WRL,1963,0.32828844,0.0
World,OWID_WRL,1970,0.10285,3.2150428
World,OWID_WRL,1977,0.20446424,0.11855748
World,OWID_WRL,1984,0.34601238,0.5308999
World,OWID_WRL,1991,0.3304746,0.3742049
World,OWID_WRL,1998,0.13021319,0.2963218
World,OWID_WRL,2011,0.1334186,0.0
