Entity,Code,Year,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Rate)
China,CHN,1990,0.0
China,CHN,1995,0.0
China,CHN,2000,0.02
China,CHN,2005,0.0
China,CHN,2010,0.0
China,CHN,2015,0.02
China,CHN,2019,0.0
France,FRA,1990,0.01
France,FRA,1995,0.05
France,FRA,2000,0.03
France,FRA,2005,0.01
France,FRA,2010,0.03
France,FRA,2015,0.45
France,FRA,2019,0.0
Germany,DEU,1990,0.08
Germany,DEU,1995,0.03
Germany,DEU,2000,0.01
Germany,DEU,2005,0.01
Germany,DEU,2010,0.01
Germany,DEU,2015,0.0
Germany,DEU,2019,0.0
India,IND,1990,0.93
India,IND,1995,0.14
India,IND,2000,0.44
India,IND,2005,0.22
India,IND,2010,0.13
India,IND,2015,0.05
India,IND,2019,0.05
Japan,JPN,1990,0.0
Japan,JPN,1995,0.01
Japan,JPN,2000,0.0
Japan,JPN,2005,0.0
Japan,JPN,2010,0.0
Japan,JPN,2015,0.0
Japan,JPN,2019,0.0
Russia,RUS,1990,0.13
Russia,RUS,1995,1.36
Russia,RUS,2000,4.44
Russia,RUS,2005,0.71
Russia,RUS,2010,0.78
Russia,RUS,2015,0.28
Russia,RUS,2019,0.01
United Kingdom,GBR,1990,0.22
United Kingdom,GBR,1995,0.04
United Kingdom,GBR,2000,0.02
United Kingdom,GBR,2005,0.13
United Kingdom,GBR,2010,0.16
United Kingdom,GBR,2015,0.0
United Kingdom,GBR,2019,0.0
United States,USA,1990,0.01
United States,USA,1995,0.07
United States,USA,2000,0.01
United States,USA,2005,0.33
United States,USA,2010,0.19
United States,USA,2015,0.02
United States,USA,2019,0.01
