Entity,Code,Year,Total economic damage from natural disasters
Drought,,1900,0
Drought,,1910,0
Drought,,1920,0
Drought,,1940,0
Drought,,1960,0
Drought,,1965,127118000
Drought,,1970,2100000
Drought,,1980,1500651000
Drought,,1985,651000000
Drought,,1990,7751739000
Drought,,1995,112800000
Drought,,2000,3655165000
Drought,,2005,462120000
Drought,,2010,3884700000
Drought,,2015,21917299000
Drought,,2023,2400000000
Dry mass movement,,1905,0
Dry mass movement,,1955,0
Dry mass movement,,1980,0
Dry mass movement,,1985,0
Dry mass movement,,1990,0
Dry mass movement,,2000,0
Dry mass movement,,2015,0
Earthquake,,1900,0
Earthquake,,1905,48800000
Earthquake,,1910,0
Earthquake,,1915,61000000
Earthquake,,1920,25000000
Earthquake,,1925,8000000
Earthquake,,1930,20000000
Earthquake,,1935,0
Earthquake,,1940,43000000
Earthquake,,1945,25000000
Earthquake,,1950,25000000
Earthquake,,1955,5000000
Earthquake,,1960,1405000000
Earthquake,,1965,198000000
Earthquake,,1970,601750000
Earthquake,,1975,18000000
Earthquake,,1980,25468000000
Earthquake,,1985,5608000000
Earthquake,,1990,9197450000
Earthquake,,1995,101285800000
Earthquake,,2000,774903000
Earthquake,,2005,6705100000
Earthquake,,2010,47300660000
Earthquake,,2015,6027852000
Earthquake,,2023,43705000000
Extreme temperature,,1955,0
Extreme temperature,,1965,0
Extreme temperature,,1975,600000000
Extreme temperature,,1980,2000000000
Extreme temperature,,1985,144000000
Extreme temperature,,1990,89250000
Extreme temperature,,1995,834300000
Extreme temperature,,2000,370159000
Extreme temperature,,2005,1400000000
Extreme temperature,,2010,400000000
Extreme temperature,,2015,94000000
Extreme temperature,,2023,545000000
Extreme weather,,1900,30000000
Extreme weather,,1905,0
Extreme weather,,1910,0
Extreme weather,,1915,60000000
Extreme weather,,1920,0
Extreme weather,,1925,18000000
Extreme weather,,1930,40000000
Extreme weather,,1935,8000000
Extreme weather,,1940,0
Extreme weather,,1945,400000000
Extreme weather,,1950,101000000
Extreme weather,,1955,877000000
Extreme weather,,1960,454041000
Extreme weather,,1965,1669400000
Extreme weather,,1970,1064974000
Extreme weather,,1975,1464261000
Extreme weather,,1980,1794957000
Extreme weather,,1985,5830948000
Extreme weather,,1990,26208835000
Extreme weather,,1995,24996834000
Extreme weather,,2000,12949580000
Extreme weather,,2005,184793461000
Extreme weather,,2010,28124083000
Extreme weather,,2015,34465128000
Extreme weather,,2023,30379052000
Flood,,1900,0
Flood,,1910,0
Flood,,1915,0
Flood,,1920,20000000
Flood,,1925,19000000
Flood,,1935,0
Flood,,1940,0
Flood,,1950,100000000
Flood,,1955,0
Flood,,1960,0
Flood,,1965,522100000
Flood,,1970,1307770000
Flood,,1975,1068859000
Flood,,1980,1145100000
Flood,,1985,3750950000
Flood,,1990,4440448000
Flood,,1995,27430794000
Flood,,2000,25803502000
Flood,,2005,17939670000
Flood,,2010,49137575000
Flood,,2015,21086300000
Flood,,2023,13013235000
Landslide,,1910,0
Landslide,,1915,0
Landslide,,1930,0
Landslide,,1950,0
Landslide,,1955,0
Landslide,,1960,0
Landslide,,1965,0
Landslide,,1970,0
Landslide,,1975,0
Landslide,,1980,0
Landslide,,1985,0
Landslide,,1990,0
Landslide,,1995,36289000
Landslide,,2000,462000000
Landslide,,2005,55000000
Landslide,,2010,1277078000
Landslide,,2015,8000000
Landslide,,2023,0
Volcanic activity,,1900,0
Volcanic activity,,1930,0
Volcanic activity,,1945,80000000
Volcanic activity,,1950,0
Volcanic activity,,1960,0
Volcanic activity,,1965,10000000
Volcanic activity,,1975,0
Volcanic activity,,1980,860000000
Volcanic activity,,1985,1000000000
Volcanic activity,,1990,8000000
Volcanic activity,,1995,722000
Volcanic activity,,2000,2214000
Volcanic activity,,2005,0
Volcanic activity,,2010,0
Volcanic activity,,2015,600000000
Volcanic activity,,2023,0
Wildfire,,1965,1000000
Wildfire,,1970,100000000
Wildfire,,1980,0
Wildfire,,1985,128169000
Wildfire,,1990,1695000000
Wildfire,,1995,134500000
Wildfire,,2000,2558913000
Wildfire,,2005,3850000000
Wildfire,,2010,2070000000
Wildfire,,2015,3439820000
Wildfire,,2023,3855000000
