Entity,Code,Year,"Deaths that are from all causes attributed to drug use per 100,000 people, in both sexes aged age-standardized"
United Arab Emirates,ARE,1990,2.9722981
United Arab Emirates,ARE,1995,4.2108965
United Arab Emirates,ARE,2000,5.74326
United Arab Emirates,ARE,2005,6.6469293
United Arab Emirates,ARE,2010,7.6072593
United Arab Emirates,ARE,2015,9.342349
United Arab Emirates,ARE,2019,9.812797
United Kingdom,GBR,1990,2.5573585
United Kingdom,GBR,1995,3.4842446
United Kingdom,GBR,2000,4.904888
United Kingdom,GBR,2005,5.1890345
United Kingdom,GBR,2010,5.710951
United Kingdom,GBR,2015,5.9539495
United Kingdom,GBR,2019,5.8039565
United States,USA,1990,8.546291
United States,USA,1995,10.646125
United States,USA,2000,11.361526
United States,USA,2005,14.795014
United States,USA,2010,16.641697
United States,USA,2015,22.144451
United States,USA,2019,26.836655
