Entity,Code,Year,Deaths - Venomous animal contact - Sex: Both - Age: Age-standardized (Rate)
Guatemala,GTM,1990,0.1
Guatemala,GTM,1995,0.2
Guatemala,GTM,2000,0.38
Guatemala,GTM,2005,0.38
Guatemala,GTM,2010,0.27
Guatemala,GTM,2015,0.22
Guatemala,GTM,2019,0.21
Honduras,HND,1990,0.49
Honduras,HND,1995,0.46
Honduras,HND,2000,0.43
Honduras,HND,2005,0.42
Honduras,HND,2010,0.42
Honduras,HND,2015,0.45
Honduras,HND,2019,0.4
Iran,IRN,1990,0.49
Iran,IRN,1995,0.47
Iran,IRN,2000,0.44
Iran,IRN,2005,0.35
Iran,IRN,2010,0.26
Iran,IRN,2015,0.16
Iran,IRN,2019,0.13
Portugal,PRT,1990,0.01
Portugal,PRT,1995,0.01
Portugal,PRT,2000,0.02
Portugal,PRT,2005,0.02
Portugal,PRT,2010,0.03
Portugal,PRT,2015,0.02
Portugal,PRT,2019,0.02
United Arab Emirates,ARE,1990,0.39
United Arab Emirates,ARE,1995,0.34
United Arab Emirates,ARE,2000,0.31
United Arab Emirates,ARE,2005,0.27
United Arab Emirates,ARE,2010,0.22
United Arab Emirates,ARE,2015,0.17
United Arab Emirates,ARE,2019,0.15
