Entity,Code,Year,Country where conflict took place - Conflict type: all
Albania,ALB,1989,0
Albania,ALB,1995,0
Albania,ALB,2000,0
Albania,ALB,2005,0
Albania,ALB,2010,0
Albania,ALB,2015,0
Albania,ALB,2022,0
Kazakhstan,KAZ,1989,0
Kazakhstan,KAZ,1995,0
Kazakhstan,KAZ,2000,0
Kazakhstan,KAZ,2005,0
Kazakhstan,KAZ,2010,0
Kazakhstan,KAZ,2015,0
Kazakhstan,KAZ,2022,0
Namibia,NAM,1989,1
Namibia,NAM,1995,0
Namibia,NAM,2000,1
Namibia,NAM,2005,0
Namibia,NAM,2010,0
Namibia,NAM,2015,0
Namibia,NAM,2022,0
Sierra Leone,SLE,1989,0
Sierra Leone,SLE,1995,1
Sierra Leone,SLE,2000,1
Sierra Leone,SLE,2005,0
Sierra Leone,SLE,2010,0
Sierra Leone,SLE,2015,0
Sierra Leone,SLE,2022,0
