Entity,Code,Year,Gas consumption - TWh
Iraq,IRQ,1965,4.731
Iraq,IRQ,1970,7.4099994
Iraq,IRQ,1980,12.169499
Iraq,IRQ,1990,37.809998
Iraq,IRQ,2000,29.925
Iraq,IRQ,2010,71.35259
Iraq,IRQ,2022,188.67082
Non-OECD (EI),,1965,1578.5005
Non-OECD (EI),,1970,2487.716
Non-OECD (EI),,1980,5364.4395
Non-OECD (EI),,1990,9493.933
Non-OECD (EI),,2000,10518.8545
Non-OECD (EI),,2010,16060.708
Non-OECD (EI),,2022,21447.402
OECD (EI),,1965,4725.326
OECD (EI),,1970,7127.1035
OECD (EI),,1980,8872.5205
OECD (EI),,1990,9987.193
OECD (EI),,2000,13475.403
OECD (EI),,2010,15532.986
OECD (EI),,2022,17965.643
Oceania,,1965,0.029474998
Oceania,,1970,18.014374
Oceania,,1980,119.36425
Oceania,,1990,212.20807
Oceania,,2000,264.30347
Oceania,,2010,360.82422
Oceania,,2022,452.48056
Romania,ROU,1965,140.49026
Romania,ROU,1970,213.25386
Romania,ROU,1980,331.2944
Romania,ROU,1990,335.39127
Romania,ROU,2000,159.097
Romania,ROU,2010,125.469
Romania,ROU,2022,97.69295
Slovenia,SVN,1990,8.92175
Slovenia,SVN,2000,9.598017
Slovenia,SVN,2010,10.028044
Slovenia,SVN,2022,7.944912
South Korea,KOR,1990,31.641739
South Korea,KOR,2000,198.0775
South Korea,KOR,2010,450.16473
South Korea,KOR,2022,619.28
