Entity,Code,Year,$2.15 a day - Share of population in poverty,Mean income or consumption,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Bolivia,BOL,2019,1.9205352,7156.80028,11777318.0,
Botswana,BWA,2019,,,2499705.0,
Brazil,BRA,2019,5.388581,7707.02245,211782880.0,
China,CHN,2019,0.14242858,5173.66841,1421864064.0,
Cote d'Ivoire,CIV,2019,,,26147544.0,
Czechia,CZE,2019,0.0,14368.76885,10536876.0,
East Timor,TLS,2019,,,1280442.0,
Egypt,EGY,2019,1.4670148,2466.8144305,105618672.0,
Ethiopia,ETH,2019,,,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,0.0,24046.273,83148144.0,
Greece,GRC,2019,0.6895518,10395.18394,10574026.0,
India,IND,2019,12.731296,1813.6677355,1383112064.0,
Indonesia,IDN,2019,4.380574,2678.089899,269582880.0,
Italy,ITA,2019,0.9943459,18212.74445,59727936.0,
Kenya,KEN,2019,,,50951452.0,
Malaysia,MYS,2019,,,32804024.0,
Mozambique,MOZ,2019,74.38077,767.58697,30285602.0,
Niger,NER,2019,,,23443400.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Russia,RUS,2019,0.030001637,8656.634189999999,145742288.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,,,10447677.0,
Tanzania,TZA,2019,,,59872584.0,
Uganda,UGA,2019,42.20773,1283.0145295,42949076.0,
United Kingdom,GBR,2019,0.49803847,20132.1882,66778660.0,
United States,USA,2019,0.99917054,31344.274625,334319680.0,
Yemen,YEM,2019,,,31546694.0,
Zambia,ZMB,2019,,,18380478.0,
