Entity,Code,Year,"Current number of cases of hiv/aids and sexually transmitted infections per 100 people, in both sexes aged under 5"
Central African Republic,CAF,1990,0.35182324
Central African Republic,CAF,1995,1.3101724
Central African Republic,CAF,2000,1.1875254
Central African Republic,CAF,2005,0.8627819
Central African Republic,CAF,2010,0.6100873
Central African Republic,CAF,2015,0.37624905
Central African Republic,CAF,2019,0.15035272
Equatorial Guinea,GNQ,1990,0.022947304
Equatorial Guinea,GNQ,1995,0.18625711
Equatorial Guinea,GNQ,2000,0.4802858
Equatorial Guinea,GNQ,2005,0.72764695
Equatorial Guinea,GNQ,2010,0.97290754
Equatorial Guinea,GNQ,2015,0.9450785
Equatorial Guinea,GNQ,2019,0.8084893
Middle Income (WB),,1990,0.0015181854
Middle Income (WB),,1995,0.019572247
Middle Income (WB),,2000,0.07075666
Middle Income (WB),,2005,0.10568467
Middle Income (WB),,2010,0.07757382
Middle Income (WB),,2015,0.034488875
Middle Income (WB),,2019,0.016328366
Monaco,MCO,1990,0.0
Monaco,MCO,1995,0.0
Monaco,MCO,2000,0.0
Monaco,MCO,2005,0.0
Monaco,MCO,2010,0.0
Monaco,MCO,2015,0.0
Monaco,MCO,2019,0.0
