Entity,Code,Year,Very important in life: Family,Rather important in life: Family,Not very important in life: Family,Not at all important in life: Family,Don't know: Important in life: Family,No answer: Important in life: Family
Bolivia,BOL,2022,80.93856,17.90034,1.015965,0.0967586,0.0483793,0.0
Brazil,BRA,2022,85.32112,12.95377,1.281332,0.4437745,0.0,0.0
China,CHN,2022,86.15168,12.95411,0.6033546,0.0300647,0.0,0.2607922
Egypt,EGY,2022,99.66666,0.3333333,,,,0.0
France,FRA,2022,85.3784,11.56855,2.399626,0.6186975,0.0347223,0.0
Germany,DEU,2022,87.97746,9.981555,1.357193,0.1226645,0.038252,0.5228717
Japan,JPN,2022,92.01774,6.208426,0.6651885,0.2217295,0.1478197,0.7390983
Mexico,MEX,2022,97.10317,2.49214,0.3079814,0.096706,0.0,0.0
Morocco,MAR,2022,89.08333,9.666666,1.083333,0.1666667,0.0,0.0
Russia,RUS,2022,80.53004,16.64818,2.022671,0.4891628,0.2897556,0.0201933
Ukraine,UKR,2022,85.02966,12.98232,1.288573,0.2578008,0.2894999,0.1521398
United Kingdom,GBR,2022,91.71779,6.929152,0.9764447,0.3525771,0.0240339,0.0
United States,USA,2022,91.04893,7.050093,1.644311,0.1608274,0.0,0.0958422
