Entity,Code,Year,Number of ongoing wars per state - Conflict type: intra-state (internationalized),Number of ongoing wars per state - Conflict type: intra-state (non-internationalized),Number of ongoing wars per state - Conflict type: non-state,Number of ongoing wars per state - Conflict type: extra-state,Number of ongoing wars per state - Conflict type: inter-state
Africa,,1816,0.0,0.0,0.0,0.0,0.0
Africa,,1824,0.0,0.0,0.0,0.0,0.0
Africa,,1832,0.0,0.0,0.0,0.0,0.0
Africa,,1840,0.0,0.0,0.0,0.0,0.0
Africa,,1848,0.0,0.0,0.0,0.0,0.0
Africa,,1856,0.0,0.5,0.5,1.0,0.0
Africa,,1864,0.0,0.5,0.5,0.0,0.0
Africa,,1872,0.0,0.0,0.5,0.0,0.0
Africa,,1880,0.0,0.0,0.0,1.0,0.0
Africa,,1888,0.0,0.0,2.0,1.0,0.0
Africa,,1896,0.0,0.0,0.0,2.0,0.0
Africa,,1904,0.0,0.0,0.0,1.5,0.0
Africa,,1912,0.0,0.0,0.0,0.0,0.0
Africa,,1920,0.0,0.0,0.0,0.0,0.0
Africa,,1928,0.0,0.33333334,0.0,0.0,0.0
Africa,,1936,0.0,0.0,0.0,0.0,0.33333334
Africa,,1944,0.0,0.0,0.0,0.0,0.33333334
Africa,,1952,0.0,0.0,0.0,0.25,0.0
Africa,,1960,0.03846154,0.0,0.03846154,0.0,0.0
Africa,,1968,0.04761905,0.023809524,0.0,0.04761905,0.0
Africa,,1976,0.06122449,0.040816326,0.0,0.020408163,0.020408163
Africa,,1984,0.08,0.04,0.0,0.02,0.0
Africa,,1992,0.078431375,0.11764706,0.0,0.0,0.0
Africa,,2007,0.01923077,0.0,0.0,0.0,0.0
