Entity,Code,Year,"Deaths that are from all causes attributed to high fasting plasma glucose per 100,000 people, in both sexes aged age-standardized"
Romania,ROU,1990,78.497406
Romania,ROU,1995,87.34046
Romania,ROU,2000,78.317505
Romania,ROU,2005,77.69423
Romania,ROU,2010,71.50338
Romania,ROU,2015,65.29951
Romania,ROU,2019,68.37389
Russia,RUS,1990,89.19812
Russia,RUS,1995,113.948204
Russia,RUS,2000,115.22222
Russia,RUS,2005,120.410194
Russia,RUS,2010,101.423706
Russia,RUS,2015,88.84236
Russia,RUS,2019,84.07766
Uzbekistan,UZB,1990,57.06279
Uzbekistan,UZB,1995,95.7433
Uzbekistan,UZB,2000,126.52631
Uzbekistan,UZB,2005,204.87024
Uzbekistan,UZB,2010,322.26355
Uzbekistan,UZB,2015,354.86282
Uzbekistan,UZB,2019,324.60916
