Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: Age-standardized (Rate)
Japan,JPN,1990,189.27
Japan,JPN,1995,154.58
Japan,JPN,2000,122.12
Japan,JPN,2005,104.95
Japan,JPN,2010,91.14
Japan,JPN,2015,80.19
Japan,JPN,2019,77.01
Mongolia,MNG,1990,660.65
Mongolia,MNG,1995,751.53
Mongolia,MNG,2000,833.32
Mongolia,MNG,2005,768.39
Mongolia,MNG,2010,672.44
Mongolia,MNG,2015,568.77
Mongolia,MNG,2019,570.02
Netherlands,NLD,1990,252.63
Netherlands,NLD,1995,228.07
Netherlands,NLD,2000,204.21
Netherlands,NLD,2005,163.18
Netherlands,NLD,2010,126.02
Netherlands,NLD,2015,113.29
Netherlands,NLD,2019,113.01
North Korea,PRK,1990,359.49
North Korea,PRK,1995,375.64
North Korea,PRK,2000,395.26
North Korea,PRK,2005,410.92
North Korea,PRK,2010,402.71
North Korea,PRK,2015,373.53
North Korea,PRK,2019,352.91
Saudi Arabia,SAU,1990,425.09
Saudi Arabia,SAU,1995,438.15
Saudi Arabia,SAU,2000,431.58
Saudi Arabia,SAU,2005,418.16
Saudi Arabia,SAU,2010,405.87
Saudi Arabia,SAU,2015,360.66
Saudi Arabia,SAU,2019,332.09
South Asia (WB),,1990,338.26
South Asia (WB),,1995,326.59
South Asia (WB),,2000,329.34
South Asia (WB),,2005,306.39
South Asia (WB),,2010,289.69
South Asia (WB),,2015,276.36
South Asia (WB),,2019,268.49
Vanuatu,VUT,1990,538.3
Vanuatu,VUT,1995,578.19
Vanuatu,VUT,2000,571.64
Vanuatu,VUT,2005,551.57
Vanuatu,VUT,2010,567.82
Vanuatu,VUT,2015,572.05
Vanuatu,VUT,2019,567.98
