Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars) - DC_ODA_TOTL"
Australia,AUS,2000,2316780000.0
Australia,AUS,2005,2521250000.0
Australia,AUS,2010,3862170000.0
Australia,AUS,2015,4102010000.0
Australia,AUS,2020,3300780000.0
Australia,AUS,2022,3081380000.0
South Korea,KOR,2000,314130000.0
South Korea,KOR,2005,878370000.0
South Korea,KOR,2010,1382240000.0
South Korea,KOR,2015,2047450000.0
South Korea,KOR,2020,2423300000.0
South Korea,KOR,2022,3186390000.0
Switzerland,CHE,2000,1778180000.0
Switzerland,CHE,2005,2531580000.0
Switzerland,CHE,2010,2572520000.0
Switzerland,CHE,2015,3714800000.0
Switzerland,CHE,2020,3863000000.0
Switzerland,CHE,2022,4539410000.0
