Entity,Code,Year,Cobalt production-reserves - kt
Australia,AUS,1995,824.0
Australia,AUS,2000,3598.48
Australia,AUS,2005,4110.0
Australia,AUS,2010,3850.0
Australia,AUS,2015,6030.0
Australia,AUS,2020,5600.0
Australia,AUS,2022,5900.0
Canada,CAN,1995,5339.0
Canada,CAN,2000,5298.0
Canada,CAN,2005,5767.0
Canada,CAN,2010,4636.0
Canada,CAN,2015,4339.0
Canada,CAN,2020,4474.0
Canada,CAN,2022,3900.0
China,CHN,1995,980.0
China,CHN,2000,90.0
China,CHN,2005,2100.0
China,CHN,2010,1500.0
China,CHN,2015,2600.0
China,CHN,2020,2200.0
China,CHN,2022,2200.0
Cuba,CUB,1995,1591.0
Cuba,CUB,2000,2852.0
Cuba,CUB,2005,4798.0
Cuba,CUB,2010,4800.0
Cuba,CUB,2015,4000.0
Cuba,CUB,2020,3793.2465
Cuba,CUB,2022,3790.9954
Low-income countries,,1995,4601.0
Low-income countries,,2000,13877.0
Low-income countries,,2005,30029.0
Low-income countries,,2010,92817.99
Low-income countries,,2015,91379.47
Low-income countries,,2020,87711.006
Low-income countries,,2022,113956.0
Lower-middle-income countries,,1995,537.0
Lower-middle-income countries,,2000,967.0
Lower-middle-income countries,,2005,1900.0001
Lower-middle-income countries,,2010,5210.0
Lower-middle-income countries,,2015,9055.0
Lower-middle-income countries,,2020,10162.504
Lower-middle-income countries,,2022,9950.777
Madagascar,MDG,2010,165.0
Madagascar,MDG,2015,4000.0
Madagascar,MDG,2020,833.0
Madagascar,MDG,2022,2400.0
North America,,1995,6930.0003
North America,,2000,8150.0
North America,,2005,10565.001
North America,,2010,9436.000999999998
North America,,2015,8339.001
North America,,2020,8267.246
North America,,2022,7690.995
Oceania,,1995,1924.0
Oceania,,2000,4798.48
Oceania,,2005,5879.0
Oceania,,2010,6700.0
Oceania,,2015,12175.0
Oceania,,2020,10736.9995
Oceania,,2022,10850.0
Papua New Guinea,PNG,2010,0.0
Papua New Guinea,PNG,2015,2505.0
Papua New Guinea,PNG,2020,2940.0
Papua New Guinea,PNG,2022,3000.0
Rest of World (EI),,1995,1894.0
Rest of World (EI),,2000,2337.0
Rest of World (EI),,2005,3214.0
Rest of World (EI),,2010,5798.0
Rest of World (EI),,2015,7074.0
Rest of World (EI),,2020,3715.0
Rest of World (EI),,2022,14675.0
South Africa,ZAF,1995,288.0
South Africa,ZAF,2000,580.0
South Africa,ZAF,2005,620.0
South Africa,ZAF,2010,1800.0
South Africa,ZAF,2015,2900.0
South Africa,ZAF,2020,1800.0
South Africa,ZAF,2022,1000.0
Upper-middle-income countries,,1995,6359.0
Upper-middle-income countries,,2000,7522.0
Upper-middle-income countries,,2005,13818.0
Upper-middle-income countries,,2010,14300.0
Upper-middle-income countries,,2015,15700.0
Upper-middle-income countries,,2020,17493.246
Upper-middle-income countries,,2022,15890.995
Zambia,ZMB,1995,2931.0
Zambia,ZMB,2000,2877.0
Zambia,ZMB,2005,5529.0
Zambia,ZMB,2010,8648.0
Zambia,ZMB,2015,2979.0
Zambia,ZMB,2020,287.0
Zambia,ZMB,2022,247.0
