Entity,Code,Year,It is important to this person looking after the environment: Very much like me,It is important to this person looking after the environment: Like me,It is important to this person looking after the environment: Somewhat like me,It is important to this person looking after the environment: A little like me,It is important to this person looking after the environment: Not like me,It is important to this person looking after the environment: Not at all like me,It is important to this person looking after the environment: Don't know,It is important to this person looking after the environment: No answer
Australia,AUS,2014,18.23998,28.55137,24.20447,19.0912,6.636687,1.744415,0.0,1.531876
Chile,CHL,2014,24.2,21.9,24.6,13.4,5.2,2.3,5.4,3.0
Ecuador,ECU,2014,33.77704,32.27953,18.30283,9.900167,3.327787,2.412646,0.0,0.0
Egypt,EGY,2014,28.40018,35.26666,19.25765,10.10261,4.35271,2.620188,0.0,0.0
Georgia,GEO,2014,35.85691,46.17305,12.06323,3.161397,1.747088,0.0831947,0.9151414,0.0
Libya,LBY,2014,50.56686,24.39499,12.45282,6.117866,3.203753,1.311848,1.34926,0.6026
Malaysia,MYS,2014,26.38462,37.0,23.0,9.153846,3.538461,0.9230769,0.0,0.0
Morocco,MAR,2014,22.41667,35.33333,14.5,11.41667,4.583333,3.666667,3.833333,4.25
Netherlands,NLD,2014,8.149316,23.92219,26.65615,25.34175,9.148265,2.10305,4.258675,0.4206099
Peru,PER,2014,23.81328,29.48553,25.13591,12.93602,3.854063,1.332304,1.593187,1.849705
Rwanda,RWA,2014,14.14538,26.12967,21.67649,21.611,14.40734,2.030124,0.0,0.0
Sweden,SWE,2014,22.95216,34.18533,24.12041,11.94704,4.110098,2.126468,0.443751,0.1147341
United States,USA,2014,14.31003,23.97819,26.59504,22.16597,7.949571,3.12311,0.0,1.878077
