Entity,Code,Year,fuel_efficiency_per_km
Austria,AUT,2001,6.467103471
Austria,AUT,2002,6.352749889
Austria,AUT,2004,6.287207585
Austria,AUT,2006,6.340184716
Austria,AUT,2008,6.305435569
Austria,AUT,2010,5.882296667
Austria,AUT,2012,5.52394829
Austria,AUT,2014,5.192724946
Austria,AUT,2016,4.898187242
Austria,AUT,2018,5.097042479
Austria,AUT,2019,5.306353531
Belgium,BEL,2001,6.465171536
Belgium,BEL,2002,6.31673312
Belgium,BEL,2004,6.076180857
Belgium,BEL,2006,5.961009532
Belgium,BEL,2008,5.725088582
Belgium,BEL,2010,5.340140024
Belgium,BEL,2012,5.246396992
Belgium,BEL,2014,4.876327412
Belgium,BEL,2016,4.74149589
Belgium,BEL,2018,4.9924342
Belgium,BEL,2019,5.093902469
Denmark,DNK,2001,7.172616627
Denmark,DNK,2002,7.028617617
Denmark,DNK,2004,6.949616019
Denmark,DNK,2006,6.719722117
Denmark,DNK,2008,5.908442764
Denmark,DNK,2010,5.494847044
Denmark,DNK,2012,4.895699997
Denmark,DNK,2014,4.654987089
Denmark,DNK,2016,4.609812686
Denmark,DNK,2018,4.705407028
Denmark,DNK,2019,5.375398551
Finland,FIN,2001,7.474018083
Finland,FIN,2002,7.436690373
Finland,FIN,2004,7.462611843
Finland,FIN,2006,7.366735752
Finland,FIN,2008,6.522043466
Finland,FIN,2010,6.156284096
Finland,FIN,2012,5.802653949
Finland,FIN,2014,5.262472903
Finland,FIN,2016,5.021452695
Finland,FIN,2018,5.190068158
Finland,FIN,2019,5.640313366
France,FRA,2001,6.331105374
France,FRA,2002,6.147751227
France,FRA,2004,5.977382352
France,FRA,2006,5.827198492
France,FRA,2008,5.461338724
France,FRA,2010,5.245298592
France,FRA,2012,4.994718686
France,FRA,2014,4.626511884
France,FRA,2016,4.553266843
France,FRA,2018,4.735450228
France,FRA,2019,4.831200335
Germany,DEU,2001,7.222864406
Germany,DEU,2002,7.078793509
Germany,DEU,2004,6.959862443
Germany,DEU,2006,6.88058106
Germany,DEU,2008,6.665714842
Germany,DEU,2010,6.230697074
Germany,DEU,2012,5.784670395
Germany,DEU,2014,5.369679591
Germany,DEU,2016,5.153508645
Germany,DEU,2018,5.497620256
Germany,DEU,2019,5.65211049
Greece,GRC,2001,6.972668808
