Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate)
Guinea-Bissau,GNB,1990,100675.44
Guinea-Bissau,GNB,1995,94499.43
Guinea-Bissau,GNB,2000,90358.85
Guinea-Bissau,GNB,2005,85381.63
Guinea-Bissau,GNB,2010,73824.77
Guinea-Bissau,GNB,2015,65903.25
Guinea-Bissau,GNB,2019,59462.12
Malaysia,MYS,1990,32953.91
Malaysia,MYS,1995,32649.18
Malaysia,MYS,2000,30290.1
Malaysia,MYS,2005,28322.14
Malaysia,MYS,2010,27659.92
Malaysia,MYS,2015,27144.82
Malaysia,MYS,2019,26886.78
Monaco,MCO,1990,23504.94
Monaco,MCO,1995,22765.79
Monaco,MCO,2000,22380.42
Monaco,MCO,2005,22181.11
Monaco,MCO,2010,21976.79
Monaco,MCO,2015,21573.74
Monaco,MCO,2019,21141.13
Mozambique,MOZ,1990,93511.33
Mozambique,MOZ,1995,86334.49
Mozambique,MOZ,2000,88713.12
Mozambique,MOZ,2005,88096.35
Mozambique,MOZ,2010,82545.42
Mozambique,MOZ,2015,74986.73
Mozambique,MOZ,2019,67259.91
Sri Lanka,LKA,1990,38461.89
Sri Lanka,LKA,1995,35862.83
Sri Lanka,LKA,2000,34293.03
Sri Lanka,LKA,2005,30894.0
Sri Lanka,LKA,2010,29668.97
Sri Lanka,LKA,2015,25507.79
Sri Lanka,LKA,2019,24579.83
Uruguay,URY,1990,31134.38
Uruguay,URY,1995,30291.88
Uruguay,URY,2000,28383.68
Uruguay,URY,2005,27123.73
Uruguay,URY,2010,25921.18
Uruguay,URY,2015,25012.01
Uruguay,URY,2019,24524.57
