Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Combined - percentage of female adults aged between 25 and 64 years with no education,Population (historical estimates),Continent
Afghanistan,AFG,2015,5.4052,81.2,33753500.0,Asia
Afghanistan,AFG,2020,4.7502,73.7,38972236.0,
Africa,,2015,,37.85387,1201108186.0,
Africa,,2020,,33.3492,1360677453.0,
Algeria,DZA,2015,3.0414,24.0,39543148.0,Africa
Algeria,DZA,2020,2.9419,18.9,43451668.0,
Asia,,2015,,23.379696,4458250376.0,
Asia,,2020,,19.54007,4663086623.0,
Bangladesh,BGD,2015,2.1142,37.8,157830000.0,Asia
Bangladesh,BGD,2020,2.0026,30.0,167420944.0,
Belize,BLZ,2015,2.4377,0.1,359884.0,North America
Belize,BLZ,2020,1.9986,0.1,394931.0,
Benin,BEN,2015,5.3193,70.2,10932791.0,Africa
Benin,BEN,2020,5.0479,63.5,12643121.0,
Brunei,BRN,2015,1.9471,20.2,421449.0,Asia
Brunei,BRN,2020,1.7962,20.2,441736.0,
Burundi,BDI,2015,5.6951,59.3,10727153.0,Africa
Burundi,BDI,2020,5.1766,54.6,12220229.0,
Cameroon,CMR,2015,4.8324,15.6,23012650.0,Africa
Cameroon,CMR,2020,4.5432,14.9,26491090.0,
China,CHN,2015,1.6696,3.5,1393715456.0,Asia
China,CHN,2020,1.2805,2.1,1424929792.0,
Congo,COG,2015,4.5644,36.0,5064390.0,Africa
Congo,COG,2020,4.234,35.3,5702183.0,
Cote d'Ivoire,CIV,2015,4.8132,49.4,23596738.0,Africa
Cote d'Ivoire,CIV,2020,4.4718,45.3,26811792.0,
Democratic Republic of Congo,COD,2015,6.437,50.0,78656904.0,Africa
Democratic Republic of Congo,COD,2020,6.2057,48.0,92853168.0,
Egypt,EGY,2015,3.4364,36.2,97723792.0,Africa
Egypt,EGY,2020,2.9602,30.1,107465128.0,
Europe,,2015,,1.034147,743294457.0,
Europe,,2020,,0.9727329,747462669.0,
Gabon,GAB,2015,3.8892,9.1,2028524.0,Africa
Gabon,GAB,2020,3.5476,8.8,2292583.0,
Gambia,GMB,2015,5.3136,70.8,2253137.0,Africa
Gambia,GMB,2020,4.7765,62.6,2574005.0,
India,IND,2015,2.2867,47.1,1322866560.0,Asia
India,IND,2020,2.0514,39.3,1396387072.0,
Indonesia,IDN,2015,2.3447,6.5,259091968.0,Asia
Indonesia,IDN,2020,2.194,4.5,271857984.0,
Iran,IRN,2015,2.0535,15.5,81790848.0,Asia
Iran,IRN,2020,1.7084,12.3,87290192.0,
Iraq,IRQ,2015,4.0897,30.7,37757812.0,Asia
Iraq,IRQ,2020,3.5512,25.8,42556988.0,
Kazakhstan,KAZ,2015,2.7414,0.1,17835908.0,Asia
Kazakhstan,KAZ,2020,3.1403,0.1,18979250.0,
Kenya,KEN,2015,3.8,18.6,46851496.0,Africa
Kenya,KEN,2020,3.3969,12.6,51985780.0,
Laos,LAO,2015,2.7663,36.2,6787420.0,Asia
Laos,LAO,2020,2.541,32.7,7319397.0,
Liberia,LBR,2015,4.5232,62.7,4612330.0,Africa
Liberia,LBR,2020,4.1736,52.3,5087591.0,
Malawi,MWI,2015,4.4521,25.5,16938944.0,Africa
Malawi,MWI,2020,3.9947,17.3,19377058.0,
Mali,MLI,2015,6.3847,78.5,18112910.0,Africa
Mali,MLI,2020,6.0347,72.5,21224042.0,
Morocco,MAR,2015,2.5313,54.6,34680456.0,Africa
Morocco,MAR,2020,2.353,47.6,36688768.0,
Myanmar,MMR,2015,2.2475,21.3,51483956.0,Asia
Myanmar,MMR,2020,2.1739,16.6,53423200.0,
Niger,NER,2015,7.2111,84.4,20128132.0,Africa
Niger,NER,2020,6.8924,80.1,24333644.0,
