Entity,Code,Year,Inbound/Outbound (tourists)
Armenia,ARM,2000,0.4054054
Armenia,ARM,2005,1.1858736
Armenia,ARM,2010,1.21492
Armenia,ARM,2015,1.0042123
Armenia,ARM,2021,2.0567377
British Virgin Islands,VGB,1995,2.772152
Iran,IRN,2021,0.367194
Mauritius,MUS,1995,3.9439251
Mauritius,MUS,2000,4.02454
Mauritius,MUS,2005,4.15847
Mauritius,MUS,2010,4.4103775
Mauritius,MUS,2015,4.7561984
Mauritius,MUS,2021,4.2809525
Mexico,MEX,1995,2.3953846
Mexico,MEX,2000,1.8630743
Mexico,MEX,2005,1.6471251
Mexico,MEX,2010,1.6248082
Mexico,MEX,2015,1.6371474
Mexico,MEX,2021,2.7598753
Morocco,MAR,1995,1.9757024
Morocco,MAR,2000,2.83687
Morocco,MAR,2005,2.600356
Morocco,MAR,2010,4.2703447
Morocco,MAR,2015,5.3282723
Morocco,MAR,2021,4.283084
Puerto Rico,PRI,1995,2.5311236
Puerto Rico,PRI,2000,2.6536934
Puerto Rico,PRI,2005,2.6141844
Puerto Rico,PRI,2010,3.2510204
Puerto Rico,PRI,2015,4.747989
Puerto Rico,PRI,2021,5.668107
