Entity,Code,Year,Insecticides | 00001309 || Agricultural Use | 005157 || tonnes
Australia,AUS,1990,3999.39
Australia,AUS,1995,5730.05
Australia,AUS,2000,7493.33
Australia,AUS,2005,7680.15
Australia,AUS,2010,9439.46
Australia,AUS,2015,11398.61
Australia,AUS,2020,14195.54
Belgium,BEL,2000,925.5
Belgium,BEL,2005,930.0
Belgium,BEL,2010,605.63
Belgium,BEL,2015,578.64
Belgium,BEL,2020,556.0
Netherlands,NLD,1990,731.0
Netherlands,NLD,1995,553.0
Netherlands,NLD,2000,1714.0
Netherlands,NLD,2005,1663.42
Netherlands,NLD,2010,1634.9
Netherlands,NLD,2015,2244.88
Netherlands,NLD,2020,2475.68
United Kingdom,GBR,1990,2083.0
United Kingdom,GBR,1995,1667.0
United Kingdom,GBR,2000,1657.47
United Kingdom,GBR,2005,1206.9
United Kingdom,GBR,2010,889.46
United Kingdom,GBR,2015,503.99
United Kingdom,GBR,2020,316.75
