Entity,Code,Year,Share of global cumulative CO₂ emissions from other industry
Brazil,BRA,2000,1.1366823
Brazil,BRA,2022,1.7617323
Canada,CAN,2000,0.87956434
Canada,CAN,2022,0.90814275
China,CHN,1960,8.778895
China,CHN,1980,58.517704
China,CHN,2000,50.32264
China,CHN,2022,50.752453
European Union (27),,2000,11.72058
European Union (27),,2022,13.590233
South Korea,KOR,2000,1.1663349
South Korea,KOR,2022,2.228282
United Kingdom,GBR,2000,0.9909704
United Kingdom,GBR,2022,1.1794924
United States,USA,1904,100.00001
United States,USA,1920,100.0
United States,USA,1940,100.00001
United States,USA,1960,91.221115
United States,USA,1980,41.4823
United States,USA,2000,20.624348
United States,USA,2022,14.493568
