Entity,Code,Year,Rice | 00000027 || Yield | 005419 || tonnes per hectare
China (FAO),,2000,6.2641997
China (FAO),,2010,6.5481
China (FAO),,2021,7.1124
Iran,IRN,1961,2.1429
Iran,IRN,1970,2.7937
Iran,IRN,1980,2.8356
Iran,IRN,1990,3.7786999
Iran,IRN,2000,3.6915
Iran,IRN,2010,4.4186997
Iran,IRN,2021,3.6818
Myanmar,MMR,1961,1.6065999
Myanmar,MMR,1970,1.6973
Myanmar,MMR,1980,2.7739
Myanmar,MMR,1990,2.9352999
Myanmar,MMR,2000,3.3300998
Myanmar,MMR,2010,4.0025997
Myanmar,MMR,2021,3.8107998
Puerto Rico,PRI,1961,6.4444
Puerto Rico,PRI,1970,6.5713997
Puerto Rico,PRI,1980,8.7879
Puerto Rico,PRI,2021,2.8613
