Entity,Code,Year,Violence against other people: Never justifiable (aggregate),Violence against other people: Neutral,Violence against other people: Always justifiable (aggregate),Violence against other people: Don't know,Violence against other people: No answer
Bolivia,BOL,2022,86.79245,6.676342,5.418481,0.9675859,0.1451379
Brazil,BRA,2022,87.11932,6.580964,5.03644,1.052496,0.210775
China,CHN,2022,93.51933,3.318203,2.80233,0.0149966,0.3451435
Egypt,EGY,2022,94.75,3.583333,1.0,0.6666667,0.0
Germany,DEU,2022,96.53142,1.963351,1.17801,0.065445,0.2617801
Japan,JPN,2022,95.56541,1.330377,1.182557,0.443459,1.478197
Mexico,MEX,2022,79.90788,9.24466,9.817531,0.9641384,0.0657974
Morocco,MAR,2022,73.25,15.5,11.25,0.0,0.0
Russia,RUS,2022,83.04401,6.376202,8.028326,2.306895,0.2445634
Ukraine,UKR,2022,84.95988,6.292127,5.430937,2.916349,0.4007072
United Kingdom,GBR,2022,93.13082,4.366513,2.319492,0.1268391,0.0563365
United States,USA,2022,81.41551,9.732027,7.869185,0.0,0.9832809
