Entity,Code,Year,"Meat, total | 00001765 || Production | 005510 || tonnes"
Brazil,BRA,1961,2119990.0
Brazil,BRA,1970,3095640.0
Brazil,BRA,1980,5316689.0
Brazil,BRA,1990,7709088.0
Brazil,BRA,2000,15424850.0
Brazil,BRA,2010,23630100.0
Brazil,BRA,2021,29497016.0
China,CHN,1961,2221940.0
China,CHN,1970,6991520.0
China,CHN,1980,13648180.0
China,CHN,1990,28105360.0
China,CHN,2000,60132364.0
China,CHN,2010,79209140.0
China,CHN,2021,90737304.0
India,IND,1961,1696091.0
India,IND,1970,2015308.0
India,IND,1980,2626812.0
India,IND,1990,3657118.0
India,IND,2000,4987490.0
India,IND,2010,8215841.0
India,IND,2021,10888240.0
Russia,RUS,2000,4453444.0
Russia,RUS,2010,7166806.0
Russia,RUS,2021,11346122.0
United States,USA,1961,16513033.0
United States,USA,1970,21330296.0
United States,USA,1980,24455198.0
United States,USA,1990,28634662.0
United States,USA,2000,37565212.0
United States,USA,2010,41952750.0
United States,USA,2021,48876684.0
