Entity,Code,Year,electdem_vdem_owid,Taxes including social contributions (as a share of GDP),Population (historical estimates),Continent
Afghanistan,AFG,2022,0.082,,,
Africa,,2022,0.389125,,,
Albania,ALB,2022,0.484,,,
Angola,AGO,2022,0.344,22.44569,,
Asia,,2022,0.33844897,,,
Austria,AUT,2022,0.794,,,
Bahrain,BHR,2022,0.122,,,
Bangladesh,BGD,2022,0.274,7.7674227,,
Belarus,BLR,2022,0.175,,,
Bolivia,BOL,2022,0.597,,,
Bosnia and Herzegovina,BIH,2022,0.528,,,
Brazil,BRA,2022,0.678,,,
Bulgaria,BGR,2022,0.688,,,
Burkina Faso,BFA,2022,0.295,,,
Cameroon,CMR,2022,0.297,,,
Chile,CHL,2022,0.811,,,
China,CHN,2022,0.075,,,
Colombia,COL,2022,0.689,22.2,,
Congo,COG,2022,0.234,8.732244,,
Costa Rica,CRI,2022,0.871,,,
Croatia,HRV,2022,0.738,,,
Cuba,CUB,2022,0.178,,,
Czechia,CZE,2022,0.853,,,
Democratic Republic of Congo,COD,2022,0.337,11.992874,,
Denmark,DNK,2022,0.916,,,
El Salvador,SLV,2022,0.378,,,
Estonia,EST,2022,0.893,,,
Europe,,2022,0.727,,,
France,FRA,2022,0.874,,,
Germany,DEU,2022,0.857,,,
Ghana,GHA,2022,0.633,13.146171,,
Greece,GRC,2022,0.783,,,
Guinea,GIN,2022,0.191,11.413484,,
Haiti,HTI,2022,0.248,5.0670986,,
Hungary,HUN,2022,0.445,,,
India,IND,2022,0.399,17.050694,,
Indonesia,IDN,2022,0.574,10.387953,,
Ireland,IRL,2022,0.889,,,
Israel,ISR,2022,0.723,,,
Japan,JPN,2022,0.833,,,
Jordan,JOR,2022,0.259,17.467653,,
Kenya,KEN,2022,0.522,14.520366,,
Kuwait,KWT,2022,0.317,,,
Kyrgyzstan,KGZ,2022,0.382,28.702097,,
Laos,LAO,2022,0.134,10.617295,,
Madagascar,MDG,2022,0.495,9.234698,,
Malawi,MWI,2022,0.642,8.306164,,
Mali,MLI,2022,0.235,13.41913,,
Malta,MLT,2022,0.782,,,
Mauritius,MUS,2022,0.521,19.51931,,
Morocco,MAR,2022,0.264,21.238213,,
Myanmar,MMR,2022,0.093,,,
Namibia,NAM,2022,0.634,26.698912,,
Nepal,NPL,2022,0.646,20.652874,,
Nicaragua,NIC,2022,0.177,,,
North America,,2022,0.5918667,,,
Oceania,,2022,0.6666667,,,
Pakistan,PAK,2022,0.388,,,
Panama,PAN,2022,0.729,12.945597,,
Peru,PER,2022,0.744,,,
Poland,POL,2022,0.574,,,
Portugal,PRT,2022,0.846,,,
Romania,ROU,2022,0.689,,,
Saudi Arabia,SAU,2022,0.016,,,
Senegal,SEN,2022,0.69,18.504965,,
Serbia,SRB,2022,0.361,,,
Slovenia,SVN,2022,0.799,,,
South Africa,ZAF,2022,0.692,,,
South America,,2022,0.65858334,,,
Sudan,SDN,2022,0.169,,,
Switzerland,CHE,2022,0.898,,,
Trinidad and Tobago,TTO,2022,0.784,20.25749,,
Turkey,TUR,2022,0.276,,,
Ukraine,UKR,2022,0.406,,,
United States,USA,2022,0.819,,,
Uzbekistan,UZB,2022,0.221,,,
Vanuatu,VUT,2022,0.771,,,
Vietnam,VNM,2022,0.157,,,
