Entity,Code,Year,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - All age ranges or no breaks by age - All areas - Both sexes
Angola,AGO,2015,54
Armenia,ARM,2014,32
Armenia,ARM,2015,29
Armenia,ARM,2016,28
Armenia,ARM,2020,19
Austria,AUT,2014,19
Austria,AUT,2015,18
Austria,AUT,2016,18
Austria,AUT,2019,17
Austria,AUT,2020,18
Austria,AUT,2021,17
Colombia,COL,2014,22
Colombia,COL,2015,20
Colombia,COL,2016,18
Colombia,COL,2019,18
Colombia,COL,2020,18
Colombia,COL,2021,16
Cyprus,CYP,2014,27
Cyprus,CYP,2015,29
Cyprus,CYP,2016,28
Cyprus,CYP,2019,22
Cyprus,CYP,2020,21
Cyprus,CYP,2021,17
Mali,MLI,2016,40
Mali,MLI,2021,35
Morocco,MAR,2014,8
North Macedonia,MKD,2014,43
North Macedonia,MKD,2015,42
North Macedonia,MKD,2016,41
North Macedonia,MKD,2019,40
North Macedonia,MKD,2020,40
Palestine,PSE,2016,24
Romania,ROU,2014,40
Romania,ROU,2015,37
Romania,ROU,2016,39
Romania,ROU,2019,31
Romania,ROU,2020,30
Romania,ROU,2021,34
Serbia,SRB,2014,43
Serbia,SRB,2015,42
Serbia,SRB,2016,39
Serbia,SRB,2019,32
Serbia,SRB,2020,30
Serbia,SRB,2021,28
Slovenia,SVN,2014,20
Slovenia,SVN,2015,19
Slovenia,SVN,2016,18
Slovenia,SVN,2019,14
Slovenia,SVN,2020,15
Slovenia,SVN,2021,13
Uganda,UGA,2016,44
Uganda,UGA,2019,42
