Entity,Code,Year,"Gini coefficient, equivalized income after tax and transfers"
France,FRA,1956,0.3602
France,FRA,1970,0.3504
France,FRA,1990,0.2832
France,FRA,2000,0.2863
France,FRA,2010,0.299
France,FRA,2014,0.2872
Japan,JPN,1990,0.2397
Japan,JPN,2000,0.2455999999999999
Netherlands,NLD,1970,0.2871
Netherlands,NLD,1990,0.2839
Netherlands,NLD,2000,0.285
Netherlands,NLD,2010,0.2789999999999999
Netherlands,NLD,2014,0.286
UK,,1970,0.2591
UK,,1980,0.2575
UK,,1990,0.3390999999999999
UK,,2000,0.3529
UK,,2010,0.3375
UK,,2014,0.3399
United States,USA,2000,0.357
United States,USA,2010,0.367
