Entity,Code,Year,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,diesel_gas_number,petrol_number
United Kingdom,GBR,2001,29.0,0.0,719.0,437628.0,2019996.0
United Kingdom,GBR,2002,45.00001756,0.0,339.0001323,596885.2329,1965464.767
United Kingdom,GBR,2004,0.0,0.0,2462.0,833668.0,1730715.0
United Kingdom,GBR,2006,298.0,0.0,8957.0,897776.0,1437376.0
United Kingdom,GBR,2008,179.0,0.0,15385.0,926604.0,1188689.0
United Kingdom,GBR,2010,167.0,0.0,22148.0,935192.0,1067527.0
United Kingdom,GBR,2012,1784.0,0.0,25370.0,1039199.0,973633.0
United Kingdom,GBR,2014,8067.0,6550.0,37188.0,1240576.0,1184054.0
United Kingdom,GBR,2016,10276.0,28694.0,49872.0,1286239.0,1317705.0
United Kingdom,GBR,2018,14944.0,40410.0,93409.0,745689.0,1472695.0
United Kingdom,GBR,2019,37850.0,34758.0,155276.0,615619.0,1467637.0
