Entity,Code,Year,Deaths - Road injuries - Sex: Both - Age: All Ages (Rate),"Mortality caused by road traffic injury (per 100,000 population)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,30.7,26.1,32353592.0,
Asia,,2019,,,4627738749.0,
Bahamas,BHS,2019,14.72,7.7,404563.0,
Bangladesh,BGD,2019,5.41,15.3,165516224.0,
Belize,BLZ,2019,19.46,22.6,389103.0,
Botswana,BWA,2019,24.54,26.4,2499705.0,
Brazil,BRA,2019,20.55,16.0,211782880.0,
Burundi,BDI,2019,15.98,35.5,11874838.0,
Cameroon,CMR,2019,22.0,30.2,25782342.0,
Democratic Republic of Congo,COD,2019,33.7,34.9,89906896.0,
Dominican Republic,DOM,2019,24.52,64.6,10881886.0,
Egypt,EGY,2019,29.77,10.1,105618672.0,
Ethiopia,ETH,2019,8.56,28.2,114120592.0,
Europe,,2019,,,747418251.0,
Greece,GRC,2019,12.36,8.3,10574026.0,
Haiti,HTI,2019,11.02,18.8,11160441.0,
Iran,IRN,2019,25.06,21.5,86564208.0,
Iraq,IRQ,2019,13.3,27.3,41563524.0,
Japan,JPN,2019,5.35,3.6,125791680.0,
Kiribati,KIR,2019,17.35,1.9,124252.0,
Lesotho,LSO,2019,44.14,31.9,2225710.0,
Libya,LBY,2019,32.0,21.3,6569085.0,
Madagascar,MDG,2019,10.98,29.2,27533134.0,
Mali,MLI,2019,12.58,22.7,20567430.0,
Mexico,MEX,2019,16.89,12.8,125085312.0,
Micronesia (country),FSM,2019,22.13,0.2,111392.0,
Morocco,MAR,2019,25.54,17.0,36304408.0,
Mozambique,MOZ,2019,16.86,30.0,30285602.0,
Namibia,NAM,2019,23.92,34.8,2446648.0,
Nigeria,NGA,2019,8.62,20.7,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,44.79,10.6,4602769.0,
Pakistan,PAK,2019,8.63,13.0,223293280.0,
Paraguay,PRY,2019,21.66,22.0,6530029.0,
Qatar,QAT,2019,25.74,7.3,2807242.0,
Saudi Arabia,SAU,2019,59.65,35.9,35827364.0,
Singapore,SGP,2019,2.97,2.1,5866408.0,
South Africa,ZAF,2019,34.61,22.2,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,10.68,36.7,10447677.0,
Sri Lanka,LKA,2019,15.14,19.7,21649664.0,
Sudan,SDN,2019,18.01,26.8,43232092.0,
Thailand,THA,2019,27.87,32.2,71307768.0,
Turkey,TUR,2019,9.52,6.7,83481688.0,
Uganda,UGA,2019,13.53,29.4,42949076.0,
United Arab Emirates,ARE,2019,41.48,8.9,9211660.0,
United States,USA,2019,12.61,12.7,334319680.0,
Venezuela,VEN,2019,22.11,39.0,28971686.0,
Vietnam,VNM,2019,25.06,30.6,95776712.0,
World,OWID_WRL,2019,15.49,16.74277,7764951040.0,
Yemen,YEM,2019,37.19,29.4,31546694.0,
Zimbabwe,ZWE,2019,17.01,41.2,15354606.0,
