Entity,Code,Year,Annual CO₂ emissions including land-use change per capita
Brazil,BRA,1920,14.902239
Brazil,BRA,1940,7.83107
Brazil,BRA,1960,15.243589
Brazil,BRA,1980,13.507834
Brazil,BRA,2000,13.074047
Brazil,BRA,2022,7.414624
China,CHN,1920,0.74579227
China,CHN,1940,0.51916385
China,CHN,1960,2.03069
China,CHN,1980,2.1869123
China,CHN,2000,3.418176
China,CHN,2022,8.6811075
European Union (27),,1850,1.5311586
European Union (27),,1860,2.0149465
European Union (27),,1880,2.6737933
European Union (27),,1900,3.9410653
European Union (27),,1920,3.8783545
European Union (27),,1940,4.582953
European Union (27),,1960,5.7821884
European Union (27),,1980,9.63764
European Union (27),,2000,7.9799824
European Union (27),,2022,5.902399
India,IND,1860,0.50214803
India,IND,1880,0.44872174
India,IND,1900,0.43289882
India,IND,1920,0.9964595
India,IND,1940,1.5005138
India,IND,1960,1.327279
India,IND,1980,0.6950422
India,IND,2000,1.1029239
India,IND,2022,2.0209615
United Kingdom,GBR,1850,4.8023906
United Kingdom,GBR,1860,5.855399
United Kingdom,GBR,1880,9.68235
United Kingdom,GBR,1900,11.119625
United Kingdom,GBR,1920,10.486173
United Kingdom,GBR,1940,10.199354
United Kingdom,GBR,1960,11.529648
United Kingdom,GBR,1980,10.325616
United Kingdom,GBR,2000,9.680117
United Kingdom,GBR,2022,4.956158
United States,USA,1850,35.018948
United States,USA,1860,32.12267
United States,USA,1880,35.025475
United States,USA,1900,29.276707
United States,USA,1920,28.432215
United States,USA,1940,19.171244
United States,USA,1960,17.525587
United States,USA,1980,22.740288
United States,USA,2000,21.769804
United States,USA,2022,15.368633
World,OWID_WRL,1850,2.2208123
World,OWID_WRL,1860,2.4506032
World,OWID_WRL,1880,2.9858973
World,OWID_WRL,1900,3.888196
World,OWID_WRL,1920,4.288607
World,OWID_WRL,1940,4.453905
World,OWID_WRL,1960,5.371428
World,OWID_WRL,1980,5.375542
World,OWID_WRL,2000,5.021541
World,OWID_WRL,2022,5.1986446
