Entity,Code,Year,Annual CO₂ emissions from land-use change per capita
Australia,AUS,1850,14.209811
Australia,AUS,1860,11.526582
Australia,AUS,1880,14.095253
Australia,AUS,1900,12.863933
Australia,AUS,1920,8.149765
Australia,AUS,1940,1.210244
Australia,AUS,1960,33.117657
Australia,AUS,1980,7.174695
Australia,AUS,2000,10.837112
Australia,AUS,2022,-0.5883555
Cook Islands,COK,1850,0.0
Cook Islands,COK,1900,0.0
Cook Islands,COK,1960,0.0
Cook Islands,COK,1980,0.0
Cook Islands,COK,2000,0.0
Cook Islands,COK,2022,0.0
Haiti,HTI,1850,2.2126808
Haiti,HTI,1860,2.144337
Haiti,HTI,1880,2.1954417
Haiti,HTI,1900,2.6615283
Haiti,HTI,1920,2.9666402
Haiti,HTI,1940,2.4431767
Haiti,HTI,1960,1.6695415
Haiti,HTI,1980,0.11455921
Haiti,HTI,2000,0.28160328
Haiti,HTI,2022,0.12316856
Mexico,MEX,1850,2.8492398
Mexico,MEX,1860,2.3831308
Mexico,MEX,1880,4.7458606
Mexico,MEX,1900,9.153201
Mexico,MEX,1920,3.5031428
Mexico,MEX,1940,6.710007
Mexico,MEX,1960,4.7837305
Mexico,MEX,1980,0.9361079
Mexico,MEX,2000,1.2966243
Mexico,MEX,2022,2.7506077
Mozambique,MOZ,1850,5.0039005
Mozambique,MOZ,1860,4.474792
Mozambique,MOZ,1880,3.513798
Mozambique,MOZ,1900,3.976735
Mozambique,MOZ,1920,11.660841
Mozambique,MOZ,1940,11.250611
Mozambique,MOZ,1960,14.268835
Mozambique,MOZ,1980,1.9121315
Mozambique,MOZ,2000,2.947821
Mozambique,MOZ,2022,0.7486416
Niger,NER,1850,1.469199
Niger,NER,1860,0.8715835
Niger,NER,1880,1.0577034
Niger,NER,1900,1.5097688
Niger,NER,1920,2.3252363
Niger,NER,1940,7.0860987
Niger,NER,1960,10.502232
Niger,NER,1980,-1.6559104
Niger,NER,2000,0.7399073
Niger,NER,2022,1.0254663
Norway,NOR,1850,7.975777
Norway,NOR,1860,6.8512464
Norway,NOR,1880,5.378838
Norway,NOR,1900,4.3125324
Norway,NOR,1920,3.3700523
Norway,NOR,1940,2.4148564
Norway,NOR,1960,6.546905
Norway,NOR,1980,1.2628394
Norway,NOR,2000,1.3394326
Norway,NOR,2022,1.4788085
Saint Kitts and Nevis,KNA,1850,0.7153505
Saint Kitts and Nevis,KNA,1860,1.3960129
Saint Kitts and Nevis,KNA,1880,0.8244526
Saint Kitts and Nevis,KNA,1900,0.14214219
Saint Kitts and Nevis,KNA,1920,-0.8075439
Saint Kitts and Nevis,KNA,1940,0.60128933
Saint Kitts and Nevis,KNA,1960,0.71238524
Saint Kitts and Nevis,KNA,1980,-0.7563049
Saint Kitts and Nevis,KNA,2000,-1.752586
Saint Kitts and Nevis,KNA,2022,-1.2756108
Senegal,SEN,1850,0.8207011
Senegal,SEN,1860,0.7894892
Senegal,SEN,1880,0.81402785
Senegal,SEN,1900,2.8236787
Senegal,SEN,1920,1.5290289
Senegal,SEN,1940,5.816519
Senegal,SEN,1960,3.1786046
Senegal,SEN,1980,-0.0353625
Senegal,SEN,2000,0.20112884
Senegal,SEN,2022,-0.06894682
