Entity,Code,Year,"Physicians (per 1,000 people)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,6602.424,32353592.0,
Argentina,ARG,2019,,22071.748,44745516.0,
Armenia,ARM,2019,,14317.553,2820604.0,
Asia,,2019,,,4627738749.0,
Austria,AUT,2019,,55806.438,8879939.0,
Bolivia,BOL,2019,,8528.749,11777318.0,
Brunei,BRN,2019,,61424.363,438058.0,
Burundi,BDI,2019,,729.65845,11874838.0,
China,CHN,2019,,15977.764,1421864064.0,
Colombia,COL,2019,,14616.135,50187404.0,
Cyprus,CYP,2019,,41746.918,1228840.0,
Dominican Republic,DOM,2019,1.4518,18171.06,10881886.0,
El Salvador,SLV,2019,,9021.426,6280222.0,
Equatorial Guinea,GNQ,2019,,16240.37,1553037.0,
Ethiopia,ETH,2019,,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,,45922.793,64399760.0,
Georgia,GEO,2019,7.0784,14989.258,3770814.0,
Germany,DEU,2019,,53874.316,83148144.0,
Ghana,GHA,2019,0.1064,5345.9414,31522294.0,
Greece,GRC,2019,,29721.586,10574026.0,
Hungary,HUN,2019,,32649.143,9771799.0,
India,IND,2019,0.9281,6608.624,1383112064.0,
Indonesia,IDN,2019,0.4651,11857.789,269582880.0,
Iran,IRN,2019,,14084.354,86564208.0,
Ireland,IRL,2019,3.352,86681.27,4896021.0,
Italy,ITA,2019,8.013,42739.05,59727936.0,
Japan,JPN,2019,,41697.41,125791680.0,
Jordan,JOR,2019,,9551.165,10698682.0,
Mexico,MEX,2019,,20064.5,125085312.0,
Mozambique,MOZ,2019,0.0846,1285.1848,30285602.0,
Nepal,NPL,2019,0.8091,3922.0813,28832500.0,
Netherlands,NLD,2019,,56784.04,17363260.0,
Nicaragua,NIC,2019,,5348.9873,6663919.0,
Nigeria,NGA,2019,,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,4.885,64385.008,5348285.0,
Oceania,,2019,,,43278474.0,
Philippines,PHL,2019,,8731.861,110380800.0,
Poland,POL,2019,,33159.75,38493600.0,
Portugal,PRT,2019,,34945.66,10289921.0,
Romania,ROU,2019,,30006.336,19524212.0,
Russia,RUS,2019,,27254.574,145742288.0,
Serbia,SRB,2019,,18310.08,7401056.0,
Singapore,SGP,2019,,98283.31,5866408.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,,40760.31,47131372.0,
Thailand,THA,2019,0.9188,18003.672,71307768.0,
Tunisia,TUN,2019,,11100.82,12049319.0,
Turkey,TUR,2019,,28150.059,83481688.0,
United Kingdom,GBR,2019,5.8233,47362.266,66778660.0,
United States,USA,2019,,62478.254,334319680.0,
Zambia,ZMB,2019,,3372.359,18380478.0,
