Entity,Code,Year,pol_libs_vdem_owid,pol_libs_vdem_high_owid,pol_libs_vdem_low_owid
Argentina,ARG,1789,0.368,0.483,0.261
Argentina,ARG,1850,0.447,0.562,0.34
Argentina,ARG,1900,0.765,0.838,0.69
Argentina,ARG,1950,0.43,0.522,0.332
Argentina,ARG,2000,0.957,0.975,0.93
Argentina,ARG,2022,0.94,0.966,0.907
Australia,AUS,1789,0.528,0.637,0.415
Australia,AUS,1850,0.876,0.926,0.819
Australia,AUS,1900,0.893,0.938,0.832
Australia,AUS,1950,0.904,0.939,0.854
Australia,AUS,2000,0.968,0.982,0.942
Australia,AUS,2022,0.951,0.974,0.924
Botswana,BWA,1900,0.227,0.308,0.156
Botswana,BWA,1950,0.249,0.332,0.174
Botswana,BWA,2000,0.906,0.942,0.864
Botswana,BWA,2022,0.863,0.908,0.8
China,CHN,1789,0.208,0.297,0.146
China,CHN,1850,0.201,0.286,0.136
China,CHN,1900,0.241,0.31,0.171
China,CHN,1950,0.068,0.1,0.04
China,CHN,2000,0.187,0.247,0.134
China,CHN,2022,0.048,0.079,0.031
World,OWID_WRL,1789,0.21435,0.2917125,0.1526625
World,OWID_WRL,1850,0.31365138,0.3908165,0.24840367
World,OWID_WRL,1900,0.3601892,0.4288108,0.29905406
World,OWID_WRL,1950,0.35773864,0.4175,0.30196592
World,OWID_WRL,2000,0.6736517,0.7261629,0.61655617
World,OWID_WRL,2022,0.6507933,0.7054525,0.5909162
