Entity,Code,Year,"Meat, total | 00002943 || Food available for consumption | 0645pc || kilograms per year per capita","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,16.461817,,1360677453.0,
Argentina,ARG,2020,110.55073,19685.217,45036032.0,
Asia,,2020,33.042507,,4663086623.0,
Australia,AUS,2020,120.72436,48747.85,25670052.0,
Belarus,BLR,2020,88.65961,19225.574,9633745.0,
Bolivia,BOL,2020,75.42956,7679.933,11936169.0,
Brazil,BRA,2020,98.85381,14021.958,213196304.0,
Bulgaria,BGR,2020,56.689198,22483.598,6979181.0,
Burkina Faso,BFA,2020,33.264378,2093.7336,21522632.0,
Burundi,BDI,2020,3.035887,711.3553,12220229.0,
Central African Republic,CAF,2020,34.15083,847.765,5343024.0,
Chad,TCD,2020,46.253742,1489.1868,16644707.0,
Chile,CHL,2020,82.247826,23017.69,19300318.0,
Ethiopia,ETH,2020,7.7400427,2253.2358,117190920.0,
Europe,,2020,75.82206,,747462669.0,
European Union (27),,2020,78.25951,41805.996,445290493.0,
Fiji,FJI,2020,39.82469,10966.925,920430.0,
Finland,FIN,2020,71.53528,47443.902,5529468.0,
Guatemala,GTM,2020,45.648666,8390.223,17362716.0,
Haiti,HTI,2020,20.19958,2959.0894,11306804.0,
High-income countries,,2020,90.40936,47614.09,1218093003.0,
Honduras,HND,2020,32.1061,5028.145,10121762.0,
Hungary,HUN,2020,82.16265,31231.596,9750571.0,
Iceland,ISL,2020,83.96945,52174.574,366682.0,
India,IND,2020,4.5361495,6114.0317,1396387072.0,
Iran,IRN,2020,36.58386,14432.362,87290192.0,
Iraq,IRQ,2020,8.252608,8919.798,42556988.0,
Ireland,IRL,2020,79.06657,91099.75,4946123.0,
Italy,ITA,2020,71.323944,39065.28,59500576.0,
Japan,JPN,2020,53.94535,39935.465,125244760.0,
Kazakhstan,KAZ,2020,71.13271,25361.508,18979250.0,
Kenya,KEN,2020,11.108879,4498.383,51985780.0,
Low-income countries,,2020,11.880641,1970.1681,680258922.0,
Lower-middle-income countries,,2020,15.393604,6930.9463,3369707355.0,
Macao,MAC,2020,99.539215,55158.71,676287.0,
Malawi,MWI,2020,23.289165,1489.6014,19377058.0,
Mexico,MEX,2020,72.694496,18327.99,125998296.0,
Mongolia,MNG,2020,111.01648,11666.779,3294340.0,
Morocco,MAR,2020,38.833344,7545.995,36688768.0,
Mozambique,MOZ,2020,7.568694,1232.9856,31178242.0,
Myanmar,MMR,2020,62.116344,4947.0938,53423200.0,
Nauru,NRU,2020,92.19667,11958.172,12339.0,
Netherlands,NLD,2020,58.12341,54275.004,17434562.0,
North America,,2020,100.71947,,594263186.0,
Oceania,,2020,96.64648,,43933757.0,
Oman,OMN,2020,48.768845,33098.21,4543406.0,
Pakistan,PAK,2020,18.083876,5004.352,227196736.0,
Papua New Guinea,PNG,2020,57.2355,3741.5967,9749641.0,
Philippines,PHL,2020,32.955105,7773.2603,112190984.0,
Poland,POL,2020,88.16477,32546.826,38428368.0,
Russia,RUS,2020,77.067474,26583.797,145617328.0,
Saint Lucia,LCA,2020,80.16429,11651.167,179245.0,
Samoa,WSM,2020,81.51155,6062.3667,214934.0,
South America,,2020,82.47168,,431530105.0,
Spain,ESP,2020,100.56011,35967.89,47363808.0,
Sri Lanka,LKA,2020,11.626126,13095.761,21715076.0,
Sudan,SDN,2020,20.059536,3874.8003,44440484.0,
Suriname,SUR,2020,60.173573,15329.179,607068.0,
Switzerland,CHE,2020,66.33272,68670.24,8638609.0,
Tajikistan,TJK,2020,37.198315,3651.9421,9543211.0,
Thailand,THA,2020,25.165844,16848.584,71475664.0,
Tunisia,TUN,2020,26.529827,10050.046,12161720.0,
Turkey,TUR,2020,37.35018,28473.205,84135432.0,
Ukraine,UKR,2020,49.291744,12407.79,43909664.0,
United States,USA,2020,126.738754,60167.855,335942016.0,
Upper-middle-income countries,,2020,63.697815,17017.123,2541463877.0,
Vietnam,VNM,2020,61.04265,10450.622,96648680.0,
World,OWID_WRL,2020,42.2603,16175.776,7840952832.0,
Zimbabwe,ZWE,2020,49.256416,1990.3195,15669663.0,
