Entity,Code,Year,Almonds | 00000221 || Yield | 005419 || tonnes per hectare
Chile,CHL,1990,0.56
Chile,CHL,2000,1.3485999
Chile,CHL,2010,2.9682999
Chile,CHL,2021,4.8047
China,CHN,1990,1.6999999
China,CHN,2000,2.125
China,CHN,2010,2.9231
China,CHN,2021,3.6069
Spain,ESP,1961,1.002
Spain,ESP,1970,0.61939996
Spain,ESP,1980,0.43699998
Spain,ESP,1990,0.42839998
Spain,ESP,2000,0.33589998
Spain,ESP,2010,0.40699998
Spain,ESP,2021,0.4906
United States,USA,1961,1.6668999
United States,USA,1970,1.6359999
United States,USA,1980,1.8137
United States,USA,1990,3.0049
United States,USA,2000,2.6341999
United States,USA,2010,4.5371
United States,USA,2021,4.0979
