Entity,Code,Year,Share of government consumption in GDP,$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,19.97234,,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,6.5259495,,165516224.0,
Benin,BEN,2019,12.7675,,12290443.0,
Brazil,BRA,2019,18.354239,5.388581,211782880.0,
Burkina Faso,BFA,2019,17.571268,,20951638.0,
Cameroon,CMR,2019,14.740999,,25782342.0,
Central African Republic,CAF,2019,21.460026,,5209329.0,
China,CHN,2019,13.7686205,0.14242858,1421864064.0,
Colombia,COL,2019,22.612944,5.2847376,50187404.0,
Czechia,CZE,2019,24.882713,0.0,10536876.0,
Djibouti,DJI,2019,20.790047,,1073999.0,
Eswatini,SWZ,2019,25.422272,,1169620.0,
Ethiopia,ETH,2019,11.189403,,114120592.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,23.048546,0.03882923,5521539.0,
France,FRA,2019,21.53684,0.051448993,64399760.0,
Gambia,GMB,2019,9.452475,,2508882.0,
Ghana,GHA,2019,10.683795,,31522294.0,
Guatemala,GTM,2019,15.278716,,17106338.0,
Guinea,GIN,2019,21.33502,,12877537.0,
Hungary,HUN,2019,28.200066,0.30170247,9771799.0,
India,IND,2019,7.345405,12.731296,1383112064.0,
Iran,IRN,2019,20.078737,0.92208225,86564208.0,
Kenya,KEN,2019,14.766892,,50951452.0,
Laos,LAO,2019,19.80111,,7212058.0,
Lesotho,LSO,2019,32.862602,,2225710.0,
Liberia,LBR,2019,23.799608,,4985290.0,
Malawi,MWI,2019,9.198115,70.0606,18867340.0,
Mali,MLI,2019,14.938794,,20567430.0,
Mexico,MEX,2019,17.071966,,125085312.0,
Mozambique,MOZ,2019,21.079208,74.38077,30285602.0,
Namibia,NAM,2019,26.702929,,2446648.0,
Niger,NER,2019,12.325295,,23443400.0,
Nigeria,NGA,2019,9.736112,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,10.358158,,223293280.0,
Russia,RUS,2019,25.969213,0.030001637,145742288.0,
Sao Tome and Principe,STP,2019,21.01543,,214612.0,
Seychelles,SYC,2019,34.187046,,104386.0,
Sierra Leone,SLE,2019,18.405445,,8046830.0,
South Africa,ZAF,2019,22.732887,,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,15.751125,,43232092.0,
Switzerland,CHE,2019,7.85819,,8575593.0,
Tanzania,TZA,2019,6.9299884,,59872584.0,
Togo,TGO,2019,16.682116,,8243093.0,
Uganda,UGA,2019,13.585674,42.20773,42949076.0,
Ukraine,UKR,2019,30.821991,0.0,44211100.0,
United States,USA,2019,11.495534,0.99917054,334319680.0,
Yemen,YEM,2019,30.02338,,31546694.0,
Zambia,ZMB,2019,17.133062,,18380478.0,
Zimbabwe,ZWE,2019,22.710901,39.75453,15354606.0,
