Entity,Code,Year,"Estimated mortality from all forms of tuberculosis per 100,000 population"
High-income countries,,2000,2.3407483
High-income countries,,2005,1.8573446
High-income countries,,2010,1.4473825
High-income countries,,2015,1.1534035
High-income countries,,2020,1.0226641
High-income countries,,2022,1.0112556
Low-income countries,,2000,91.8603
Low-income countries,,2005,67.13503
Low-income countries,,2010,54.11133
Low-income countries,,2015,47.19711
Low-income countries,,2020,32.293293
Low-income countries,,2022,23.20693
Lower-middle-income countries,,2000,73.65158
Lower-middle-income countries,,2005,60.509502
Lower-middle-income countries,,2010,47.868557
Lower-middle-income countries,,2015,36.145943
Lower-middle-income countries,,2020,28.869272
Lower-middle-income countries,,2022,27.467642
Upper-middle-income countries,,2000,18.061182
Upper-middle-income countries,,2005,17.46064
Upper-middle-income countries,,2010,10.581672
Upper-middle-income countries,,2015,6.9939923
Upper-middle-income countries,,2020,5.7618365
Upper-middle-income countries,,2022,5.870713
World,OWID_WRL,2000,42.241936
World,OWID_WRL,2005,35.84123
World,OWID_WRL,2010,27.8391
World,OWID_WRL,2015,21.599218
World,OWID_WRL,2020,17.24742
World,OWID_WRL,2022,16.008053
