Entity,Code,Year,Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
Brazil,BRA,1990,50.6152
Brazil,BRA,1995,58.22972
Brazil,BRA,2000,63.866123
Brazil,BRA,2005,70.59599
Brazil,BRA,2010,70.15282
Brazil,BRA,2015,70.59554
Brazil,BRA,2021,71.96659
China,CHN,1990,85.8749
China,CHN,1995,85.47615
China,CHN,2000,85.086205
China,CHN,2005,83.36125
China,CHN,2010,81.5373
China,CHN,2015,82.69586
China,CHN,2021,82.93444
Egypt,EGY,1990,31.129715
Egypt,EGY,1995,29.440361
Egypt,EGY,2000,28.458576
Egypt,EGY,2005,28.728209
Egypt,EGY,2010,30.79625
Egypt,EGY,2015,32.1513
Egypt,EGY,2021,22.932568
Ethiopia,ETH,1990,74.4866
Ethiopia,ETH,1995,75.160126
Ethiopia,ETH,2000,79.33701
Ethiopia,ETH,2005,83.183334
Ethiopia,ETH,2010,83.707085
Ethiopia,ETH,2015,84.90349
Ethiopia,ETH,2021,85.418564
India,IND,1990,36.143993
India,IND,1995,36.73093
India,IND,2000,37.06041
India,IND,2005,38.965233
India,IND,2010,32.74936
India,IND,2015,28.68113
India,IND,2021,27.43965
Spain,ESP,1990,49.39532
Spain,ESP,1995,57.32166
Spain,ESP,2000,62.061073
Spain,ESP,2005,68.266365
Spain,ESP,2010,77.45801
Spain,ESP,2015,81.95012
Spain,ESP,2021,84.36519
Sweden,SWE,1990,87.58428
Sweden,SWE,1995,86.263176
Sweden,SWE,2000,87.70646
Sweden,SWE,2005,87.73791
Sweden,SWE,2010,87.43454
Sweden,SWE,2015,90.11136
Sweden,SWE,2021,90.65124
